date,code,weight
2023-01-06,000300.SH,0.17618982548914772
2023-01-06,000852.SH,0.17476483413911445
2023-01-06,CBA02701.CS,0.1757443012257267
2023-01-06,AU9999.SGE,0.30396514656021234
2023-01-06,NH0100.NHF,0.16933589158579876
2023-01-13,000300.SH,0.1999999998
2023-01-13,000852.SH,0.1999999998
2023-01-13,CBA02701.CS,0.1999999998
2023-01-13,AU9999.SGE,0.1999999998
2023-01-13,NH0100.NHF,0.1999999998
2023-01-20,000300.SH,0.1999999998
2023-01-20,000852.SH,0.1999999998
2023-01-20,CBA02701.CS,0.1999999998
2023-01-20,AU9999.SGE,0.1999999998
2023-01-20,NH0100.NHF,0.1999999998
2023-01-27,000300.SH,0.1999999998
2023-01-27,000852.SH,0.1999999998
2023-01-27,CBA02701.CS,0.1999999998
2023-01-27,AU9999.SGE,0.1999999998
2023-01-27,NH0100.NHF,0.1999999998
2023-02-03,000300.SH,0.1999999998
2023-02-03,000852.SH,0.1999999998
2023-02-03,CBA02701.CS,0.1999999998
2023-02-03,AU9999.SGE,0.1999999998
2023-02-03,NH0100.NHF,0.1999999998
2023-02-10,000300.SH,0.1999999998
2023-02-10,000852.SH,0.1999999998
2023-02-10,CBA02701.CS,0.1999999998
2023-02-10,AU9999.SGE,0.1999999998
2023-02-10,NH0100.NHF,0.1999999998
2023-02-17,000300.SH,0.1999999998
2023-02-17,000852.SH,0.1999999998
2023-02-17,CBA02701.CS,0.1999999998
2023-02-17,AU9999.SGE,0.1999999998
2023-02-17,NH0100.NHF,0.1999999998
2023-02-24,000300.SH,0.1999999998
2023-02-24,000852.SH,0.1999999998
2023-02-24,CBA02701.CS,0.1999999998
2023-02-24,AU9999.SGE,0.1999999998
2023-02-24,NH0100.NHF,0.1999999998
2023-03-03,000300.SH,0.1999999998
2023-03-03,000852.SH,0.1999999998
2023-03-03,CBA02701.CS,0.1999999998
2023-03-03,AU9999.SGE,0.1999999998
2023-03-03,NH0100.NHF,0.1999999998
2023-03-10,000300.SH,0.1999999998
2023-03-10,000852.SH,0.1999999998
2023-03-10,CBA02701.CS,0.1999999998
