date,NAV,theta,tau,regret_ema_norm,week_return,max_drawdown,w_fused
2021-01-01,1.0,1.9124584197998047,15.0,0.0,0.0,0.0,"[0.24225097 0.33344595 0.18168823 0.07823988 0.04798107 0.05234813
 0.03434853 0.02969725]"
2021-01-08,1.030217659242682,1.9223020672798157,15.0,0.0,0.030217659242681886,0.0,"[0.24981247 0.31379429 0.18735935 0.07808943 0.04953241 0.05394671
 0.03556471 0.03190064]"
2021-01-15,1.0497604382927537,1.7415977716445923,15.0,0.0,0.018969563251747933,0.0,"[0.25046646 0.4        0.18784984 0.06935276 0.02653728 0.02788045
 0.01950866 0.01840454]"
2021-01-22,1.0291541233896928,1.7953883409500122,15.0,0.0,-0.019629540370728064,0.01962954037072813,"[0.24339567 0.4        0.18254675 0.07314468 0.0294129  0.02958441
 0.0216134  0.0203022 ]"
2021-01-29,1.0086007879332304,1.6634811162948608,15.0,0.0,-0.019971095669098125,0.03920861261114207,"[0.25785243 0.4        0.19338932 0.06824597 0.0228773  0.0238006
 0.01702869 0.01680569]"
2021-02-05,1.0191247706335664,1.9454589486122131,15.0,0.0,0.010434240014724998,0.029183484671046124,"[0.2535488  0.30496658 0.1901616  0.08052396 0.04834478 0.0532047
 0.03557517 0.03367442]"
2021-02-12,1.0460265210429838,1.9203577637672424,15.0,0.0,0.026396915455889944,0.0035569231927261866,"[0.24243366 0.29454756 0.18182525 0.08118631 0.05993836 0.05854593
 0.04243758 0.03908535]"
2021-02-19,1.043742485452248,1.901309072971344,15.0,0.0,-0.0021835350679813115,0.005732691594182084,"[0.23837643 0.3286959  0.17878232 0.08142197 0.05192891 0.04944852
 0.03708639 0.03425956]"
2021-02-26,0.9969851880473606,1.8532160520553589,15.0,0.0,-0.044797733211585866,0.05027361321714746,"[0.28591245 0.31628416 0.21443434 0.06596664 0.03217551 0.03945935
 0.02342013 0.02234743]"
2021-03-05,0.9863540599601169,1.9030973315238953,15.0,0.0,-0.010663275858756914,0.06040080766975348,"[0.26423681 0.29217859 0.19817761 0.0746815  0.0491111  0.05376789
 0.03512515 0.03272134]"
2021-03-12,0.9551933703947897,1.673138976097107,15.0,0.0,-0.031591789226869796,0.09008442731158767,"[0.24829048 0.3990904  0.18621786 0.07037274 0.02784999 0.02799155
 0.02046522 0.01972175]"
2021-03-19,0.9482515954334196,1.704276978969574,15.0,0.0,-0.007267402786203343,0.09669715027975324,"[0.27099533 0.36127058 0.2032465  0.06556532 0.02773833 0.03183599
 0.02022891 0.01911904]"
2021-03-26,0.9633918420671488,1.6974197030067444,15.0,0.0,0.015966486855009142,0.08227457720360262,"[0.24882594 0.4        0.18661946 0.07051169 0.0272412  0.02743102
 0.02004906 0.01932164]"
2021-04-02,0.9810486831866686,1.952023446559906,15.0,0.0,0.0183277876649168,0.0654547005198942,"[0.25332534 0.27907274 0.18999401 0.08208323 0.05597869 0.05941444
 0.04073773 0.03939382]"
2021-04-09,0.9746494272750769,1.974215030670166,15.0,0.0,-0.006522872943272756,0.07155062076813577,"[0.22908314 0.24010525 0.17181235 0.08894342 0.08003684 0.07664032
 0.05748024 0.05589844]"
2021-04-16,0.9686462174861753,1.9769896864891052,15.0,0.0,-0.006159352912857435,0.07726926815654822,"[0.2185536  0.25803056 0.1639152  0.09191529 0.0793827  0.0768182
 0.05761365 0.0537708 ]"
2021-04-23,0.9959374428428479,1.970031201839447,15.0,0.0,0.028174605819964525,0.05127169350889158,"[0.26169858 0.23056939 0.19627393 0.07987393 0.06491263 0.07301895
 0.04713758 0.04651501]"
2021-04-30,0.985823020534382,1.9660981893539429,15.0,0.0,-0.01015568034031824,0.06090667491942675,"[0.22879399 0.28667744 0.17159549 0.08968459 0.06576864 0.06471129
 0.0478141  0.04495446]"
2021-05-07,0.9890309895452873,1.9504541754722595,15.0,0.0,0.003254102353144971,0.057850769120459375,"[0.23306054 0.32997735 0.17479541 0.08737128 0.05110487 0.05018288
 0.03763716 0.03587051]"
2021-05-14,0.9917947798042259,1.9433944821357727,15.0,0.0,0.0027944425282460843,0.05521798724173532,"[0.2378567  0.32033658 0.17839252 0.08552631 0.05223721 0.05089003
 0.03816753 0.03659313]"
2021-05-21,0.9890674687287276,1.96503084897995,15.0,0.0,-0.0027498744004647736,0.0578160191126389,"[0.22815451 0.30451285 0.17111588 0.09073999 0.06022531 0.05897764
 0.04423323 0.04204059]"
2021-05-28,1.0087724268459548,1.9190405011177063,15.0,0.0,0.019922764361620982,0.03904510967612619,"[0.24057601 0.33189044 0.18043201 0.08195796 0.0487648  0.04769795
 0.03539205 0.03328876]"
2021-06-04,1.0068359426965703,1.976910948753357,15.0,0.0,-0.0019196442109735248,0.040889801168343086,"[0.2619104  0.23613725 0.1964328  0.08248126 0.06131933 0.07060669
 0.04536261 0.04574967]"
2021-06-11,1.0127223815799626,1.969210147857666,15.0,0.0,0.00584647273082739,0.0352823895450154,"[0.24208111 0.29099111 0.18156083 0.08956406 0.05587058 0.05565444
 0.04174083 0.04253704]"
2021-06-18,0.9783480493157719,1.9138986468315125,15.0,0.0,-0.03394250279189341,0.06802731973127236,"[0.25619601 0.32684675 0.19214701 0.07906111 0.04224076 0.04124307
 0.0309323  0.03133299]"
2021-06-25,0.9956710158506555,1.967618465423584,15.0,0.0,0.01770634340917704,0.05152549140646302,"[0.24276078 0.28056643 0.18207058 0.08777993 0.05949578 0.05966223
 0.04389847 0.04376581]"
2021-07-02,1.0170048770311453,1.6978809833526611,15.0,0.0,0.021426616664403975,0.03120289169487032,"[0.25520194 0.4        0.19140145 0.06935418 0.02412196 0.02390229
 0.01792672 0.01809147]"
2021-07-09,1.0120672291604276,1.9579905271530151,15.0,0.0,-0.004855087701380269,0.03590648662053537,"[0.25092422 0.27511143 0.18819317 0.08494569 0.0579883  0.05672316
 0.04254237 0.04357166]"
2021-07-16,1.0223796171657111,1.9595026969909668,15.0,0.0,0.010189429820623893,0.026082923425436493,"[0.24689667 0.27957792 0.1851725  0.08595616 0.05854534 0.05735477
 0.04301608 0.04348055]"
2021-07-23,1.0188748354991284,1.9457144141197205,15.0,0.0,-0.003428062930576529,0.029421572453097167,"[0.25388162 0.28583868 0.19041122 0.08286952 0.05425403 0.05280331
 0.03960248 0.04033914]"
2021-07-30,1.0011787839433082,1.739717185497284,15.0,0.0,-0.017368229088856962,0.04627880093143424,"[0.26618846 0.37990116 0.19964134 0.06600247 0.02479734 0.02712584
 0.0183097  0.01803369]"
2021-08-06,1.0091772978863858,1.8754282593727112,15.0,0.0,0.007989096524373223,0.038659430214734586,"[0.29723947 0.29818402 0.22292961 0.06491913 0.03143491 0.03927256
 0.02305245 0.02296786]"
2021-08-13,1.016136405221937,1.9405989050865173,15.0,0.0,0.0068958223199496104,0.032030196456536375,"[0.2466702  0.28619787 0.18500265 0.083703   0.0583938  0.05626871
 0.04220154 0.04156224]"
