date,NAV,alpha,tau,regret_ema_norm,week_return,max_drawdown,w_fused
2023-01-06,1.0022254216597204,0.9471957087516785,0.55,1.0,0.0022254216597204536,0.0,[0.0877579  0.08104044 0.08565768 0.69009579 0.05544819]
2023-01-13,1.0099244792909912,1.0,0.55,1.0,0.00768196202658753,0.0,[0.16702384 0.1695713  0.07634403 0.49460564 0.09245519]
2023-01-20,1.0153801897941301,1.0,0.55,1.0,0.005402097498388323,0.0,[0.24919557 0.25955257 0.15616598 0.22119386 0.11389201]
2023-01-27,1.0190214200690697,1.0,0.55,1.0,0.0035860757492990752,0.0,[0.2 0.2 0.2 0.2 0.2]
2023-02-03,1.01813978142532,1.0,0.55,1.0,-0.0008651816599595859,0.0008651816599596462,[0.21339096 0.19171365 0.27121063 0.11994493 0.20373983]
2023-02-10,1.015042506147649,1.0,0.55,1.0,-0.003042092386700598,0.0039046420841193983,[0.15155313 0.15148353 0.41698302 0.11469803 0.16528229]
2023-02-17,1.0123258829978607,1.0,0.55,0.9383404239024172,-0.002676363928933893,0.0065705557698238866,[0.10979582 0.11070649 0.45827803 0.09028467 0.230935  ]
2023-02-24,1.0133679596043617,1.0,0.55,1.0,0.001029388484481819,0.00554793093978815,[0.14164027 0.14530866 0.21969512 0.25610698 0.23724898]
2023-03-03,1.0137525730832808,1.0,0.55,1.0,0.0003795398061226463,0.005170496794298754,[0.10158344 0.10350692 0.38868442 0.30116122 0.10506399]
2023-03-10,1.012590562758876,1.0,0.55,1.0,-0.0011462464858368678,0.006310816616355105,[0.15463999 0.15337567 0.26826525 0.23853773 0.18518136]
2023-03-17,1.0132443059266947,1.0,0.55,1.0,0.000645614517715369,0.005669276453465966,[0.20986831 0.21590764 0.25082117 0.0947018  0.22870108]
2023-03-24,1.0108680541739636,1.0,0.55,1.0,-0.0023451913214135077,0.008001172236942213,[0.14655847 0.15239299 0.4213873  0.08349174 0.1961695 ]
2023-03-31,1.0127109284077647,1.0,0.55,0.825192896297794,0.001823061106928524,0.006192697755928734,[0.22091516 0.24024576 0.33719868 0.07712697 0.12451344]
2023-04-07,1.0165794257272187,1.0,0.55,0.814775872274759,0.003819942306277262,0.0023964111977994294,[0.08822572 0.09115893 0.72938079 0.03618328 0.05505128]
2023-04-14,1.0161465826521157,1.0,0.55,0.738710226175234,-0.0004257838238200843,0.002821174668496358,[0.18495067 0.19237051 0.38204742 0.11999945 0.12063196]
2023-04-21,1.0114390715093604,1.0,0.55,0.7742055739406533,-0.004632708728369537,0.007440813716354815,[0.20127254 0.19572217 0.38051678 0.10759091 0.11489759]
2023-04-28,1.0156768321773313,1.0,0.55,0.7387406774913862,0.0041898328701568295,0.003282156612087426,[0.18532562 0.18525678 0.38216311 0.124648   0.12260649]
2023-05-05,1.0277188662664904,1.0,0.55,0.7396192311907424,0.011856166949623544,0.0,[0.18788331 0.18657128 0.36679831 0.05205031 0.20669679]
2023-05-12,1.0261660472524092,1.0,0.55,0.7726787511548041,-0.0015109375385141846,0.0015109375385141258,[0.15439242 0.16186118 0.36442336 0.13471499 0.18460804]
2023-05-19,1.0232158957263688,1.0,0.55,0.7196899587506627,-0.0028749260745271066,0.0043815197793148,[0.28397531 0.29458288 0.08228599 0.11454048 0.22461534]
2023-05-26,1.0192468558757495,1.0,0.55,0.8561688854229642,-0.0038789857225602843,0.008243509649208048,[0.1447253  0.14923493 0.11272919 0.27112913 0.32218145]
2023-06-02,1.0208165539810643,1.0,0.55,0.8838071097117179,0.0015400568530242423,0.006716148269712078,[0.21080218 0.22355251 0.15889877 0.19248033 0.2142662 ]
2023-06-09,1.0226273548013214,1.0,0.55,0.8996019936961359,0.0017738748585091838,0.004954187017764467,[0.272138   0.29578552 0.25777029 0.09280325 0.08150294]
2023-06-16,1.0274306132165887,1.0,0.55,0.9890906231257212,0.004696978222531941,0.0002804785037652706,[0.16351513 0.17063213 0.24223906 0.23151723 0.19209644]
2023-06-23,1.0249723019574577,1.0,0.55,1.0,-0.002392678617424795,0.0026724860262714676,[0.06608565 0.06873645 0.18008419 0.6119221  0.0731716 ]
2023-06-30,1.0245931654305709,1.0,0.55,0.8806630829373455,-0.00036989929012010635,0.00304139676570758,[0.30043555 0.31732459 0.1926117  0.12938449 0.06024367]
2023-07-07,1.026787270203011,1.0,0.55,0.9564022898003904,0.0021414399846382353,0.0009064697497125764,[0.2066454  0.20495838 0.19668969 0.33082068 0.06088585]
2023-07-14,1.0311720643563937,1.0,0.55,0.866282200869085,0.0042704017478868185,0.0,[0.16655453 0.17681999 0.22023681 0.34476355 0.09162512]
2023-07-21,1.0362581450087387,1.0,0.55,0.7890294697061347,0.004932329751892037,0.0,[0.13721532 0.13945788 0.30433523 0.18004829 0.23894328]
2023-07-28,1.0425394010074005,1.0,0.55,0.9474851681617674,0.0060614780486081795,0.0,[0.13585114 0.13745071 0.14680932 0.14601471 0.43387412]
2023-08-04,1.0423919755194782,1.0,0.55,0.8079842015105787,-0.0001414099915839832,0.00014140999158390705,[0.15139694 0.15728201 0.19877426 0.29270211 0.19984468]
2023-08-11,1.0367827371463045,1.0,0.55,0.7546354959121448,-0.005381121981851606,0.005521771029021381,[0.17348056 0.18050045 0.17650069 0.37046235 0.09905595]
2023-08-18,1.0300032090485765,1.0,0.55,0.8220092005968799,-0.006539005574483732,0.012024669711965218,[0.29343868 0.40656132 0.0586857  0.17347795 0.06783635]
2023-08-25,1.0252541623994251,1.0,0.55,0.7873283957116942,-0.004610710537045763,0.016579937977665625,[0.36079902 0.30387257 0.07366872 0.19505133 0.06660836]
2023-09-01,1.0290325889140652,1.0,0.55,0.6827387770744371,0.0036853559372999043,0.012955685013231825,[0.11325734 0.10916406 0.14288848 0.51479637 0.11989375]
2023-09-08,1.024847066085656,1.0,0.55,0.6589724521360317,-0.004067434669708932,0.01697042328054804,[0.210033   0.18363546 0.1316784  0.26742987 0.20722328]
2023-09-15,1.0232618507848759,1.0,0.55,0.6070504936442449,-0.0015467822987819803,0.018490956028996933,[0.31514567 0.31135872 0.08734353 0.20030941 0.08584268]
2023-09-22,1.023304840445201,1.0,0.55,0.5435865999554844,4.201237473297268e-05,0.01844972050323783,[0.311966   0.33749785 0.10793444 0.12253175 0.12006996]
2023-09-29,1.0237116382487863,1.0,0.55,0.5158876956727104,0.00039753335223974116,0.018059521530237634,[0.32112439 0.35576108 0.14100746 0.05453707 0.12756999]
2023-10-06,1.024118597768066,1.0,0.55,0.45908802041750707,0.00039753335223974116,0.017669167440131812,[0.32112439 0.35576108 0.14100746 0.05453707 0.12756999]
2023-10-13,1.0179055359238027,1.0,0.55,0.4039758738577352,-0.006066740568723171,0.023628713753930254,[0.26662993 0.26381002 0.19946653 0.07975317 0.19034034]
2023-10-20,1.0101143716996077,1.0,0.55,0.9410780476458329,-0.007654113224882009,0.031101970128381378,[0.18346533 0.18585849 0.39160037 0.09133124 0.14774456]
2023-10-27,1.013213779737228,1.0,0.55,0.8031467845590463,0.003068373368854525,0.028129029216387665,[0.15534763 0.15827067 0.11535311 0.10137591 0.46965268]
2023-11-03,1.0180366053237746,1.0,0.55,0.7067411556318527,0.004759928934047204,0.023502992462394203,[0.1894935  0.16973626 0.25233639 0.22216493 0.16626892]
2023-11-10,1.016164530586581,1.0,0.55,0.6248437028807928,-0.001838907095681749,0.02529867973846709,[0.30169851 0.32473734 0.12970626 0.09178105 0.15207684]
2023-11-17,1.016145394771362,1.0,0.55,0.6159197121091728,-1.8831414247528247e-05,0.025317034742796493,[0.20867718 0.21765535 0.22268935 0.09591163 0.25506649]
2023-11-24,1.0085623541242748,1.0,0.55,0.564778451182738,-0.007462554754571561,0.032590659739376665,[0.28236094 0.29138732 0.11054345 0.16138076 0.15432752]
2023-12-01,1.0015838638098107,1.0,0.55,0.7156931041812987,-0.0069192452860521916,0.03928440225665782,[0.2859385  0.3095056  0.09468137 0.05423242 0.25564212]
2023-12-08,0.997511721283269,1.0,0.55,0.7368134115412452,-0.004065703006687917,0.0431903865509749,[0.14843526 0.14647843 0.4903881  0.07467935 0.14001886]
2023-12-15,0.9954603908275894,1.0,0.55,0.7202773992198914,-0.0020564474701517065,0.04515801525996896,[0.15601732 0.15959484 0.13859421 0.14786924 0.39792438]
2023-12-22,0.9950629157200283,1.0,0.55,0.7126433857901132,-0.00039928771774713827,0.0455392719368649,[0.21382466 0.20348747 0.16502685 0.18414362 0.23351741]
2023-12-29,1.0010759052728075,1.0,0.55,0.7373117718651118,0.006042823481596925,0.03977163423706288,[0.11835361 0.13342227 0.09056628 0.49735922 0.16029861]
2024-01-05,0.9931692708220354,1.0,0.55,0.77119204939244,-0.007898136803739656,0.047355649232689874,[0.17144071 0.1969531  0.12790643 0.33644901 0.16725075]
2024-01-12,0.9855714781361885,1.0,0.55,0.6477952839826329,-0.007650048092565626,0.054643424331170774,[0.13044955 0.14491244 0.2514116  0.28765154 0.18557487]
2024-01-19,0.9833674444129717,1.0,0.55,0.6032498808196858,-0.0022363002299790567,0.05675752545875119,[0.0951817  0.17451547 0.27373461 0.17443726 0.28213097]
2024-01-26,0.984192004782855,1.0,0.55,0.6208049436741342,0.0008385068822116004,0.05596661015225396,[0.07426651 0.10657675 0.29006027 0.29036784 0.23872863]
2024-02-02,0.9823137648744933,1.0,0.55,0.6177554724120006,-0.0019084080131052132,0.05776821103807826,[0.11351477 0.12091857 0.15424884 0.31877958 0.29253824]
2024-02-09,0.983924481060236,1.0,0.55,0.8662405428667742,0.0016397165990527892,0.056223217933562226,[0.08266038 0.08226747 0.14366558 0.37384836 0.31755821]
2024-02-16,0.9855378383640447,1.0,0.55,1.0,0.0016397165990527892,0.05467569147820739,[0.08266038 0.08226747 0.14366558 0.37384836 0.31755821]
2024-02-23,0.9890403451504278,1.0,0.55,1.0,0.0035539039193025887,0.051316099713139676,[0.12647771 0.14000259 0.1115408  0.27750763 0.34447126]
2024-03-01,0.9924739266907399,1.0,0.55,0.8631081593758304,0.0034716294003049562,0.04802262079330779,[0.09948307 0.10055873 0.38542933 0.24100408 0.17352479]
2024-03-08,1.0019060157188102,1.0,0.55,0.9382975524221682,0.009503613923158917,0.0389753953177467,[0.21978912 0.1930925  0.21455418 0.0692294  0.3033348 ]
2024-03-15,1.0049466068263784,1.0,0.55,0.8238675217354263,0.003034806718259617,0.03605887139104422,[0.31831134 0.35533859 0.07198281 0.05417344 0.20019381]
2024-03-22,1.0052945447850468,1.0,0.55,0.7422084080107411,0.00034622531814599997,0.03572513056711739,[0.3087286  0.31547196 0.0737592  0.08944018 0.21260005]
2024-03-29,1.008682669425249,1.0,0.55,0.9148863454491404,0.003370280538950644,0.032475253740468536,[0.26977276 0.25412713 0.17414252 0.20271671 0.09924088]
2024-04-05,1.0204858350795518,1.0,0.55,1.0,0.011701564835081482,0.021153700192566762,[0.1734132  0.17399615 0.27700514 0.21995638 0.15562913]
2024-04-12,1.0311474729935266,1.0,0.55,1.0,0.010447609900576195,0.010927095899556349,[0.08380901 0.08283447 0.62292458 0.06500619 0.14542576]
2024-04-19,1.03462498691944,1.0,0.55,0.9018419617260635,0.0033724700074353586,0.007591477195310706,[0.15904347 0.15276436 0.21178686 0.12023036 0.35617495]
2024-04-26,1.0328885910675525,1.0,0.55,0.8316635543383818,-0.0016782852471575597,0.009257021778287215,[0.2336896  0.22138776 0.19584639 0.14202592 0.20705033]
2024-05-03,1.0362234338902836,1.0,0.55,0.822937170269781,0.0032286568479611916,0.006058252677082342,[0.06737074 0.06461404 0.02185143 0.02441463 0.82174916]
2024-05-10,1.045231089769361,1.0,0.55,0.6682978415492071,0.00869277376333809,0.0,[0.15521871 0.14628611 0.08208812 0.45715737 0.15924969]
2024-05-17,1.0471026509209063,1.0,0.55,0.5721830295916103,0.0017905716447433617,0.0,[0.21220766 0.2076268  0.30280427 0.17832307 0.0990382 ]
2024-05-24,1.042016137244091,1.0,0.55,0.5826690264280069,-0.004857702988662698,0.004857702988662803,[0.23835685 0.21094248 0.18284574 0.04969406 0.31816087]
2024-05-31,1.0400485157705202,1.0,0.55,0.5396994539245036,-0.0018882831112144388,0.006736813381364412,[0.35686847 0.3000574  0.1860646  0.08060793 0.0764016 ]
2024-06-07,1.0415799658889031,1.0,0.55,0.4812092064585642,0.001472479499908959,0.005274253701054101,[0.27167856 0.26157451 0.24670734 0.12223874 0.09780084]
