date,alpha,tau,ae_error,regime_label,llm_macro,llm_sentiment,llm_risk,r_normal,r_event,edge_event_minus_normal,week_return_fused,regret_ema_norm,w_normal_broad,w_normal_satellite,w_normal_fi,w_normal_safe,w_normal_cash,w_event_broad,w_event_satellite,w_event_fi,w_event_safe,w_event_cash,w_fused_broad,w_fused_satellite,w_fused_fi,w_fused_safe,w_fused_cash
2015-01-02,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0052332731684151266,-0.005898294401745998,-0.0006650212333308711,-0.0052332731631818535,1.0,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-01-09,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,0.0012205643314483162,0.0020601246812569558,0.0008395603498086396,0.0012205643302277515,1.0,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-01-16,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0032018524387946497,-0.004289414393324531,-0.0010875619545298813,-0.0032018524355927973,1.0,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-01-23,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0009418725376746047,0.0013533205474610993,0.002295193085135704,-0.0009418725367327311,1.0,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-01-30,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0011621821698859943,-0.00016486399087854367,0.0009973181790074506,-0.001162182168723812,1.0,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-02-06,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0021023589886286363,-0.0007729326700325355,0.0013294263185961008,-0.002102358986526277,0.9744823420051058,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-02-13,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,0.004147009058243109,0.005582761492968403,0.0014357524347252942,0.004147009054096099,1.0,0.2,0.2,0.2,0.2,0.2,0.1800882628776153,0.12369717738843507,0.27799284723561274,0.2213236983536327,0.1968980141447042,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-02-20,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,0.0010883569532319983,0.0026927475117493336,0.0016043905585173353,0.0010883569521436417,0.9740369641039038,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-02-27,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,0.0022946290172638547,0.0017568220948653665,-0.0005378069223984882,0.002294629014969226,0.9257083134563067,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-03-06,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0034046518376157865,-0.003645396278610135,-0.00024074444099434844,-0.0034046518342111345,0.818509978955046,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-03-13,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0013319709225117248,-0.00081218061363811,0.0005197903088736148,-0.001331970921179754,0.8138687957188621,0.2,0.2,0.2,0.2,0.2,0.17731941021632092,0.12713435796299863,0.27799499279252593,0.22699185311850376,0.1905593859096508,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-03-20,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,0.004840381791040106,0.005479603855953078,0.0006392220649129718,0.004840381786199725,0.9001102458495787,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-03-27,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,0.001669559281882178,0.0009739283970223994,-0.0006956308848597785,0.0016695592802126189,0.896309575018042,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-04-03,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,0.008408024135052122,0.007464870651890031,-0.0009431534831620915,0.008408024126644098,0.8557209605603627,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-04-10,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.002964448628256709,-0.0029237147206388195,4.073390761788953e-05,-0.00296444862529226,0.7719760963527302,0.2,0.2,0.2,0.2,0.2,0.1800611869154923,0.12077769317490243,0.27954082209573294,0.2202225657805137,0.19939773203335864,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-04-17,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.002818771021772827,-0.003446731214103761,-0.0006279601923309341,-0.0028187710189540556,1.0,0.2,0.2,0.2,0.2,0.2,0.18005118656542204,0.12089058648793383,0.2794710056910984,0.22030223845363964,0.19928498280190615,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-04-24,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0015160668380668613,-0.0010122557676842552,0.000503811070382606,-0.0015160668365507943,0.9355115725156017,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-05-01,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,0.0027192744534881995,0.0029439341258155117,0.0002246596723273122,0.002719274450768925,0.9393446114955293,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2015-05-08,0.0,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0067744504364375575,-0.007956521821088506,-0.001182071384650948,-0.006774450429663107,0.8791703279979417,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
