date,alpha,tau,ae_error,regime_label,llm_macro,llm_sentiment,llm_risk,r_normal,r_event,edge_event_minus_normal,week_return_fused,regret_ema_norm,w_normal_broad,w_normal_satellite,w_normal_fi,w_normal_safe,w_normal_cash,w_event_broad,w_event_satellite,w_event_fi,w_event_safe,w_event_cash,w_fused_broad,w_fused_satellite,w_fused_fi,w_fused_safe,w_fused_cash
2015-01-02,0.42775266617536545,20.0,0.0,bull_normal,50.0,50.0,50.0,0.003946469955874421,0.003187626978544085,-0.0007588429773303356,0.0036218728454910434,1.0,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.19144494648504773,0.16577978654019096,0.23422021305980903,0.20855505311495226,0.1999999998
2015-01-09,0.39644355326890945,20.0,0.0,bull_normal,50.0,50.0,50.0,0.004588280190663645,0.004348384587239907,-0.00023989560342373758,0.004493175120735575,1.0,0.2,0.2,0.2,0.2,0.2,0.1799753982043349,0.12232856410859211,0.2787278154998139,0.2210286127249976,0.19793960946226155,0.1920613755192702,0.1692076597985043,0.23121113468663423,0.20833665774067722,0.1991831712549142
2015-01-16,0.38363950978964567,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0006376863952005913,0.00010533056840853715,0.0007430169636091285,-0.00035263573116355837,1.0,0.2,0.2,0.2,0.2,0.2,0.18001151920424957,0.12029072815192288,0.27981178307180177,0.22012864635237006,0.19975732321965586,0.1923316288337469,0.1694203738530937,0.2306189531024846,0.20772214381163023,0.19990689939904455
2015-01-23,0.37851977813988924,20.0,0.0,bull_normal,50.0,50.0,50.0,0.005034865042033321,0.0035610950241978015,-0.0014737700178355192,0.004477013937375984,1.0,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1924296042447726,0.16971841757909042,0.23028158202090956,0.20757039535522737,0.1999999998
2015-01-30,0.3764903014525771,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0003683085065672532,-0.001526703461595755,-0.001158394955028502,-0.0008044329715826456,1.0,0.2,0.2,0.2,0.2,0.2,0.17908564020652704,0.1256744242487273,0.27757962755171733,0.22369778495696263,0.19396252303606568,0.19212594618454173,0.17201714140774985,0.22920797713431673,0.2089219859932832,0.19772694828010842
2015-02-06,0.37568850605748594,20.0,0.0,bull_normal,50.0,50.0,50.0,0.004657582414132911,0.0046924091059283935,3.482669179548283e-05,0.004670666397273813,1.0,0.2,0.2,0.2,0.2,0.2,0.1799297460005969,0.12270835259482145,0.27840399015252393,0.22142736326070686,0.1975305479913509,0.19245983606631012,0.17096241628466408,0.22945547769989205,0.208050013884116,0.1990722550650177
2015-02-13,0.37537213022005744,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0013814917046560233,0.00010535279786055718,0.0014868445025165804,-0.0008233717156170205,1.0,0.2,0.2,0.2,0.2,0.2,0.1787401519732894,0.12617945533810965,0.27757434181908847,0.22439510299548276,0.19311094787402971,0.19201964536603933,0.17228982472397147,0.2291192457099309,0.20915724156919485,0.19741404163086348
2015-02-20,0.37524737769854255,20.0,0.0,bull_normal,50.0,50.0,50.0,0.005871423007750881,0.006502925072629954,0.0006315020648790725,0.006108392495499575,1.0,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.19249505225353408,0.16998020961413637,0.23001978998586362,0.2075049473464659,0.1999999998
2015-02-27,0.37519818896544166,20.0,0.0,bull_normal,50.0,50.0,50.0,0.0033157303401611694,0.0034091644966940844,9.343415653291498e-05,0.0033507866631290453,0.9513245302271908,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.19249603602819512,0.1699841447127805,0.23001585488721948,0.20750396357180487,0.1999999998
2015-03-06,0.3751788081426639,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.00017409648825574914,0.0005921897943403898,0.0007662862825961389,0.00011339788583134544,1.0,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.19249642364465028,0.16998569517860115,0.23001430442139884,0.20750357595534968,0.1999999998
2015-03-13,0.3751711191434879,20.0,0.0,bull_normal,50.0,50.0,50.0,0.0020166178758697206,0.001895285631634637,-0.00012133224423508358,0.0019710975200407563,1.0,0.2,0.2,0.2,0.2,0.2,0.18027023126585304,0.1227926990921183,0.2783466316103555,0.2206874798826814,0.1979029581489918,0.19259796039096994,0.17103405034130792,0.22939339323298621,0.20776134477208263,0.1992132502626533
2015-03-20,0.3751681184221525,20.0,0.0,bull_normal,50.0,50.0,50.0,0.0011950098078643307,0.0037374166421233266,0.0025424068342589957,0.0021488397939880607,1.0,0.2,0.2,0.2,0.2,0.2,0.17476932585661772,0.12737448915415903,0.27995241230670104,0.23057819249778264,0.18732558018473955,0.19053425526457055,0.172753223573765,0.22999559585842158,0.21147196273267152,0.1952449615705713
2015-03-27,0.37516692260396667,20.0,0.0,bull_normal,50.0,50.0,50.0,0.008815244906923531,0.009001484552235825,0.00018623964531229442,0.008885115852637083,0.9110543639094361,0.2,0.2,0.2,0.2,0.2,0.1798132928368431,0.12358328426000786,0.27816074070820074,0.22179038830199577,0.1966522938929525,0.19242661500366437,0.17133097574899409,0.22932332433061892,0.20817503271343016,0.19874405120329242
2015-04-03,0.37516650164616294,20.0,0.0,bull_normal,50.0,50.0,50.0,0.0004916698770326567,-0.0003036385480644995,-0.0007953084250971563,0.00019329679726594047,0.8977560622068356,0.2,0.2,0.2,0.2,0.2,0.1801598409530231,0.12178050596700896,0.2789982573368007,0.22040652017160417,0.198654875571563,0.19255663674568554,0.17065466589245515,0.22963749961155333,0.20765584257589673,0.19949535417440914
2015-04-10,0.375166315381648,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.007937631955122803,-0.009591115824629777,-0.001653483869506974,-0.00855796339743076,0.8433025372097491,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.19249667349987037,0.16998669459948143,0.23001330500051856,0.20750332610012961,0.1999999998
2015-04-17,0.37516622969997115,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.002387941294506816,-0.003021106044307316,-0.0006331647498005002,-0.0026254833238429113,0.7396332821836771,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1924966752135039,0.1699867014540156,0.2300132981459844,0.2075033243864961,0.1999999998
2015-04-24,0.37516620362293907,20.0,0.0,bull_normal,50.0,50.0,50.0,0.004860158462880397,0.0041996131612906705,-0.0006605453015897265,0.004612344185149665,0.6990702217939729,0.2,0.2,0.2,0.2,0.2,0.17821033078726514,0.12761275589837284,0.27743725909520717,0.22547215518464997,0.19126749903450493,0.19182525233143335,0.1728427522668228,0.22905184228466294,0.20955629154916317,0.19672386056791769
2015-05-01,0.3751661700953264,20.0,0.0,bull_normal,50.0,50.0,50.0,0.00016464623447132938,-0.00017973892450776202,-0.0003443851589790914,3.5444573304029306e-05,0.7645752571781798,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.19249667640559678,0.16998670622238718,0.2300132933776128,0.20750332319440318,0.1999999998
2015-05-08,0.3751661589194555,20.0,0.0,bull_normal,50.0,50.0,50.0,0.0009596325842218886,-9.85753206444584e-05,-0.001058207904866347,0.0005626287886523478,0.7527654288397213,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.1924966766291142,0.16998670711645686,0.23001329248354316,0.20750332297088578,0.1999999998
2015-05-15,0.3751661440182943,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0008391077782263869,-2.3688128851191612e-05,0.0008154196493751953,-0.0005331899320803555,0.6897892382387693,0.2,0.2,0.2,0.2,0.2,0.1798597855069724,0.12328914769465649,0.2782429279970229,0.22165087264127867,0.1969572661600695,0.1924440731965054,0.1712206851650267,0.22935409736399,0.20812267419533703,0.19885846907914081
2015-05-22,0.3751661291171331,20.0,0.0,bull_normal,50.0,50.0,50.0,0.006677267683591489,0.006583811692870528,-9.34559907209611e-05,0.006642206154667694,0.7416030795800945,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.19249667722516067,0.16998670950064262,0.23001329009935736,0.20750332237483932,0.1999999998
2015-05-29,0.37516614215564914,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0063706803078482505,-0.006817308986467926,-0.00044662867861967534,-0.006538240259643828,0.9379486523423622,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.19249667696439032,0.16998670845756134,0.23001329114243865,0.20750332263560964,0.1999999998
2015-06-05,0.37516612725448795,20.0,0.0,bull_normal,50.0,50.0,50.0,0.0007393559824329745,0.0008427352678202914,0.00010337928538731687,0.0007781403877919307,0.9228910716617699,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.19249667726241357,0.16998670964965426,0.23001328995034573,0.20750332233758642,0.1999999998
2015-06-12,0.375166140293004,20.0,0.0,bull_normal,50.0,50.0,50.0,-0.0069019385746871475,-0.006141728367830342,0.0007602102068568059,-0.0066167334389526,0.8285351325652197,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.19249667700164325,0.16998670860657297,0.23001329099342702,0.20750332259835674,0.1999999998
2015-06-19,0.3751661253918428,20.0,0.0,bull_normal,50.0,50.0,50.0,0.005477558615348993,0.006832223777145055,0.0013546651617960623,0.0059857830893175505,0.8283105577342368,0.2,0.2,0.2,0.2,0.2,0.18,0.12,0.28,0.22,0.2,0.19249667729966646,0.16998670979866584,0.23001328980133412,0.20750332230033353,0.1999999998
