date,NAV,theta,tau,regret_ema_norm,week_return,max_drawdown,w_fused
2023-01-06,1.0,0.5330924391746521,15.0,0.0,0.0,0.0,"[0.21614386 0.21528626 0.16210789 0.09334416 0.09051868 0.09180646
 0.06636771 0.06442498]"
2023-01-13,1.0170774505700635,0.3841691017150879,15.0,0.0,0.017077450570063466,0.0,"[0.20650023 0.21223764 0.15487517 0.097935   0.09474815 0.09381148
 0.07035861 0.06953372]"
2023-01-20,1.0272002015966641,0.5756224393844604,15.0,0.0,0.009952782869118573,0.0,"[0.21605127 0.24042642 0.16203845 0.09664251 0.08242555 0.08145986
 0.0610949  0.05986103]"
2023-01-27,1.0272002015966641,0.5927945673465729,15.0,0.0,0.0,0.0,"[0.21607858 0.2377064  0.16205894 0.09620971 0.08362033 0.08224342
 0.06168256 0.06040005]"
2023-02-03,1.03051587967066,0.5761229991912842,15.0,0.0,0.003227879111435082,0.0,"[0.21437918 0.23503005 0.16078439 0.09649476 0.08522429 0.08381097
 0.06285823 0.06141812]"
2023-02-10,1.0250775834119559,0.39289796352386475,15.0,0.0,-0.005277256145186378,0.005277256145186311,"[0.20560984 0.20655946 0.15420738 0.09673915 0.09754966 0.09667368
 0.07200054 0.07066031]"
2023-02-17,1.013599591310251,0.3929992914199829,15.0,0.0,-0.011197193546561263,0.016415359233295145,"[0.20986204 0.21275463 0.15739653 0.09733692 0.09257732 0.09299248
 0.06883052 0.06824957]"
2023-02-24,1.0201599684318938,0.5308626294136047,15.0,0.0,0.006472355728914995,0.010049249548755846,"[0.21879567 0.23159538 0.16409676 0.09584719 0.08296081 0.08437834
 0.06162334 0.06070251]"
2023-03-03,1.022933693881495,0.5057962238788605,15.0,0.0,0.002718912264186257,0.007357660312413712,"[0.22495742 0.21337957 0.16871807 0.09214813 0.08510335 0.09105312
 0.06286442 0.06177592]"
2023-03-10,1.0069732795220345,0.5309543013572693,15.0,0.0,-0.01560258935151412,0.022845451111485383,"[0.21744766 0.22640799 0.16308575 0.09535727 0.08559024 0.08669395
 0.06329673 0.0621204 ]"
2023-03-17,1.0008878675047597,0.888561449944973,15.0,0.0,-0.006043270602138813,0.028750660470529595,"[0.23479818 0.30562118 0.17609864 0.08971769 0.05617055 0.05539702
 0.04154777 0.04064895]"
