date,theta,tau,ae_error,regime_label,llm_macro,llm_sentiment,llm_risk,r_event,edge_event_minus_normal,week_return_fused,regret_ema_norm,w_event_0,w_event_1,w_event_2,w_event_3,w_event_4,w_event_5,w_event_6,w_event_7,w_fused_0,w_fused_1,w_fused_2,w_fused_3,w_fused_4,w_fused_5,w_fused_6,w_fused_7
2023-01-06,0.5330924391746521,15.0,9.99757194519043,bull_normal,59.0,63.3,33.7,0.0,0.0,0.0,0.0,0.21614385523375393,0.2152862583748901,0.16210789142531543,0.09334415691307157,0.09051868220915688,0.09180646376727566,0.06636771089038941,0.06442498118614712,0.21614385501761005,0.2152862581596038,0.16210789126320752,0.09334415681972741,0.09051868211863819,0.0918064636754692,0.0663677108240217,0.06442498112172212
2023-01-13,0.3841691017150879,15.0,6.9903154373168945,bull_normal,53.9,57.5,40.55,0.017077450587140917,0.017077450587140917,0.017077450570063466,0.0,0.20650022569992768,0.21223763831513873,0.15487516927494574,0.09793499888518162,0.09474815483074488,0.0938114840639234,0.07035861304794254,0.06953371588219541,0.20650022549342745,0.21223763810290108,0.15487516912007057,0.09793499878724661,0.09474815473599671,0.09381148397011191,0.07035861297758392,0.06953371581266168
2023-01-20,0.5756224393844604,15.0,12.118915557861328,bull_normal,55.25,58.85,43.45,0.009952782879071356,0.009952782879071356,0.009952782869118573,0.0,0.21605127276818004,0.24042641766926903,0.162038454576135,0.09664251468099759,0.08242554867983089,0.08145986348936443,0.0610948976170233,0.059861030519199755,0.21605127255212875,0.2404264174288426,0.16203845441409653,0.09664251458435506,0.08242554859740533,0.08145986340790456,0.0610948975559284,0.05986103045933872
2023-01-27,0.5927945673465729,15.0,12.118915557861328,bull_normal,52.0,64.0,37.75,0.0,0.0,0.0,0.0,0.21607858260369917,0.237706398434859,0.16205893695277435,0.09620971404191327,0.08362033191585562,0.08224341828489286,0.06168256371366964,0.06040005405233613,0.21607858238762057,0.23770639819715259,0.1620589367907154,0.09620971394570355,0.08362033183223529,0.08224341820264944,0.06168256365198707,0.06040005399193607
2023-02-03,0.5761229991912842,15.0,11.611235618591309,bull_normal,52.55,64.45,38.5,0.0032278791146629613,0.0032278791146629613,0.003227879111435082,0.0,0.21437918284785218,0.23503005312351377,0.1607843871358891,0.09649476069173496,0.08522429345364546,0.08381097218921617,0.06285822914191212,0.061418121416236204,0.21437918263347297,0.2350300528884837,0.1607843869751047,0.09649476059524019,0.08522429336842116,0.08381097210540518,0.06285822907905389,0.06141812135481808
2023-02-10,0.39289796352386475,15.0,6.392075538635254,bull_normal,54.9,62.6,35.3,-0.005277256150463635,-0.005277256150463635,-0.005277256145186378,0.0,0.20560983552825002,0.20655945825348915,0.1542073766461875,0.09673914745582612,0.09754965811953617,0.0966736769529653,0.0720005370456267,0.07066030999811901,0.20560983532264016,0.20655945804692968,0.1542073764919801,0.09673914735908697,0.09754965802198651,0.09667367685629162,0.07200053697362616,0.0706603099274587
2023-02-17,0.3929992914199829,15.0,7.576375484466553,bull_normal,52.0,57.0,40.75,-0.011197193557758459,-0.011197193557758459,-0.011197193546561263,0.0,0.20986203697517444,0.21275462585402607,0.15739652773138083,0.09733692118793522,0.09257731998517194,0.09299248166737524,0.06883051844488199,0.06824956815405443,0.2098620367653124,0.21275462564127143,0.15739652757398429,0.09733692109059829,0.09257731989259461,0.09299248157438275,0.06883051837605146,0.06824956808580486
2023-02-24,0.5308626294136047,15.0,11.402806282043457,bull_normal,52.8,58.5,43.65,0.00647235573538735,0.00647235573538735,0.006472355728914995,0.0,0.21879567494441585,0.23159538274971422,0.16409675620831188,0.095847187873176,0.08296080683990002,0.08437834336762416,0.061623341361360114,0.060702506655497784,0.21879567472562014,0.23159538251811881,0.16409675604421511,0.09584718777732881,0.0829608067569392,0.08437834328324581,0.06162334129973677,0.06070250659479527
2023-03-03,0.5057962238788605,15.0,10.203221321105957,bull_normal,52.8,62.0,37.25,0.0027189122669051694,0.0027189122669051694,0.002718912264186257,0.0,0.224957421826746,0.2133795742534232,0.1687180663700595,0.0921481272694066,0.08510335402374916,0.09105312025070161,0.06286441873088343,0.061775917275030574,0.22495742160178855,0.2133795740400436,0.16871806620134144,0.09214812717725847,0.0851033539386458,0.09105312015964849,0.062864418668019,0.06177591721325465
2023-03-10,0.5309543013572693,15.0,10.918230056762695,bull_normal,53.25,61.4,39.55,-0.015602589367116709,-0.015602589367116709,-0.01560258935151412,0.0,0.21744766507978866,0.22640798593547584,0.1630857488098415,0.09535727455920104,0.08559023857880568,0.08669394923557165,0.06329673427344097,0.06212040352787465,0.217447664862341,0.22640798570906784,0.16308574864675573,0.09535727446384376,0.08559023849321544,0.0866939491488777,0.06329673421014423,0.062120403465754245
