date,NAV,alpha,tau,regret_ema_norm,week_return,max_drawdown,w_fused
2015-01-02,0.9987643434224097,0.4982227456057444,0.25,1.0,-0.0012356565775902522,0.0012356565775902828,[0.17502085 0.17091992 0.26510238 0.2039977  0.18495914]
2015-01-09,1.0063941235410887,0.49644599843304604,0.25,1.0,0.0076392195705888895,0.0,[0.1753958  0.22667888 0.14191514 0.28147065 0.17453953]
2015-01-16,1.0096275696363588,0.4946697575505823,0.25,1.0,0.0032129024003963286,0.0,[0.18601807 0.20507116 0.15535486 0.16622711 0.2873288 ]
2015-01-23,1.011868096080309,0.4928940230747685,0.25,1.0,0.0022191613138667628,0.0,[0.15558378 0.1717314  0.18792641 0.2675014  0.21725701]
2015-01-30,1.0157800541627227,0.49111879419069737,0.25,1.0,0.003866075131301571,0.0,[0.20134223 0.19192365 0.17826057 0.21974365 0.2087299 ]
2015-02-06,1.0139287994600854,0.48934406985063106,0.25,1.0,-0.0018224956229950045,0.0018224956229950635,[0.17222438 0.20412445 0.18064094 0.19575581 0.24725442]
2015-02-13,1.0110950764797588,0.48756984912324697,0.25,1.0,-0.002794794843420489,0.004612196965046256,[0.17588972 0.16575427 0.21056963 0.24624396 0.20154242]
2015-02-20,1.0132110448983205,0.4857961320085451,0.25,1.0,0.0020927492060673993,0.0025290999305157017,[0.16376556 0.2944321  0.20289266 0.15948109 0.17942859]
2015-02-27,1.0186933389738952,0.48402291745878756,0.25,1.0,0.005410811600583085,0.0,[0.19482078 0.17223676 0.20773111 0.21357193 0.21163943]
2015-03-06,1.0066027034504599,0.4822502047754824,0.25,1.0,-0.011868768608631414,0.01186876860863149,[0.18916534 0.17282685 0.15258103 0.20058422 0.28484257]
2015-03-13,1.0123523933402139,0.4804779930273071,0.25,1.0,0.005711975410005529,0.006224587313065628,[0.20308091 0.2425037  0.20189747 0.18696903 0.16554889]
2015-03-20,1.0129774691360975,0.47870628198143095,0.25,0.8393170888853859,0.0006174488251283592,0.005610981852060758,[0.23162895 0.23137036 0.15927626 0.19090958 0.18681484]
2015-03-27,1.0091769542163056,0.4769350708229467,0.25,0.8150352627798757,-0.0037518257173412787,0.009341756143389793,[0.2075881  0.16996291 0.18985972 0.19359639 0.23899288]
2015-04-03,1.0129688860874826,0.4751643587369472,0.25,0.8090076727035106,0.0037574499252431216,0.005619407399069436,[0.33410513 0.1657012  0.14165752 0.14323631 0.21529985]
2015-04-10,1.0096958016265043,0.47339414490852505,0.25,0.7463242166278099,-0.003231179660039125,0.008832429744219146,[0.22918972 0.20713309 0.18161254 0.18970389 0.19236075]
