date,NAV,alpha,tau,regret_ema_norm,week_return,max_drawdown
2015-01-02,1.0026828133724757,0.3,0.5,1.0,0.002682813372475595,0.0
2015-01-09,1.0049122597751678,0.3,0.5,1.0,0.00222348121754837,0.0
2015-01-16,1.00235476433367,0.3,0.5,1.0,-0.0025449937709686433,0.0025449937709685665
2015-01-23,0.9999231361121602,0.3,0.5,1.0,-0.002425915761597999,0.004964735592064391
2015-01-30,1.0017470463840057,0.3,0.5,1.0,0.0018240504754565494,0.003149741044924978
2015-02-06,1.0034978303017017,0.3,0.5,1.0,0.0017477305513561225,0.0014075153922220082
2015-02-13,0.998577331020856,0.3,0.5,0.9820554591820602,-0.004903348200928706,0.006303962055084477
2015-02-20,0.9968394778333668,0.3,0.5,1.0,-0.001740329099712889,0.008033320186189392
2015-02-27,0.9935370640559786,0.3,0.5,0.929146933400536,-0.0033128842214054425,0.011319590947904468
2015-03-06,0.9920137656252582,0.3,0.5,0.9986703221853864,-0.001533207452273329,0.012835443118979804
2015-03-13,0.9977573645456723,0.3,0.5,0.939217257640933,0.005789837923059355,0.0071199203312499295
2015-03-20,0.9958092090941195,0.3,0.5,1.0,-0.001952534274141757,0.009058552716915788
2015-03-27,0.9900929754126915,0.3,0.5,0.9433885407386877,-0.005740290036711072,0.01474684403371886
2015-04-03,0.9943900397835218,0.3,0.5,0.9386748177745023,0.004340061466489303,0.010470784776772662
2015-04-10,0.9901829679240444,0.3,0.5,0.9840063799238078,-0.00423080651571415,0.014657291428028666
2015-04-17,0.9869508458624326,0.3,0.5,0.9284372332203682,-0.0032641664887328187,0.01787361407726657
2015-04-24,0.9856464277203553,0.3,0.5,0.8967347541274782,-0.0013216647491066846,0.019171655900708174
2015-05-01,0.9822803417851435,0.3,0.5,0.8647855948666029,-0.003415104890094299,0.02252128757498481
2015-05-08,0.9804193505258476,0.3,0.5,0.8446117039433632,-0.0018945622549197934,0.02437318184853284
2015-05-15,0.983144818687526,0.3,0.5,0.8131375240068259,0.0027799004173229124,0.021661036449602013
2015-05-22,0.9874611610356393,0.3,0.5,0.8108357623274396,0.0043903423646941215,0.01736579345089584
