NAV,alpha,tau,regret_ema_norm,week_return,max_drawdown,w_fused
0.9927824959759749,0.0,20.0,1.0,-0.007217504024025117,0.007217504024025101,[0.2 0.2 0.2 0.2 0.2]
0.9958960428398403,0.0,20.0,1.0,0.0031361822720338307,0.004103957160159655,[0.2 0.2 0.2 0.2 0.2]
0.9995896377476989,0.0,20.0,1.0,0.003708815728724117,0.0004103622523010664,[0.2 0.2 0.2 0.2 0.2]
1.0003318023795413,0.0,20.0,1.0,0.000742469313222165,0.0,[0.2 0.2 0.2 0.2 0.2]
0.9996890841060729,0.0,20.0,1.0,-0.0006425050887510789,0.0006425050887510862,[0.2 0.2 0.2 0.2 0.2]
0.9972424499801299,0.0,20.0,1.0,-0.002447395059965911,0.0030883276849367727,[0.2 0.2 0.2 0.2 0.2]
1.0020949803342367,0.0,20.0,1.0,0.004865948450352783,0.0,[0.2 0.2 0.2 0.2 0.2]
1.0023730799024104,0.0,20.0,0.9801715673716895,0.0002775181730588566,0.0,[0.2 0.2 0.2 0.2 0.2]
1.0090813609908285,0.0,20.0,1.0,0.006692399489690229,0.0,[0.2 0.2 0.2 0.2 0.2]
1.007330199176982,0.0,20.0,1.0,-0.001735402001803763,0.0017354020018037937,[0.2 0.2 0.2 0.2 0.2]
1.0128485110131944,0.0,20.0,1.0,0.005478155862616634,0.0,[0.2 0.2 0.2 0.2 0.2]
1.0074066462223912,0.0,20.0,1.0,-0.00537283190095183,0.005372831900951798,[0.2 0.2 0.2 0.2 0.2]
1.009815517377755,0.0,20.0,0.9569257867277962,0.0023911606741890963,0.0029945185311131845,[0.2 0.2 0.2 0.2 0.2]
1.0041189203944376,0.0,20.0,1.0,-0.005641225437008533,0.008618851214012454,[0.2 0.2 0.2 0.2 0.2]
1.0088622825065914,0.0,20.0,0.8839490048429137,0.004723904724642221,0.0039356611213412634,[0.2 0.2 0.2 0.2 0.2]
1.0120483888561258,0.0,20.0,1.0,0.0031581182137350792,0.0007899721906765694,[0.2 0.2 0.2 0.2 0.2]
1.011950594311816,0.0,20.0,0.9399031809495305,-9.663030482203186e-05,0.0008865261602448959,[0.2 0.2 0.2 0.2 0.2]
1.0136974564397399,0.0,20.0,0.8475142790807724,0.0017262326221683072,0.0,[0.2 0.2 0.2 0.2 0.2]
1.0166832476378358,0.0,20.0,0.8438648190333456,0.0029454460787368027,0.0,[0.2 0.2 0.2 0.2 0.2]
1.0122389001272685,0.0,20.0,0.844269647369386,-0.004371418060534997,0.004371418060534914,[0.2 0.2 0.2 0.2 0.2]
1.0084306345882876,0.0,20.0,0.9041966416797997,-0.0037622201028848913,0.008117191926514285,[0.2 0.2 0.2 0.2 0.2]
1.007671439140825,0.0,20.0,0.8728804488405282,-0.0007528484572194553,0.008863929368314894,[0.2 0.2 0.2 0.2 0.2]
1.0092710866988965,0.0,20.0,0.8023729007605996,0.0015874693833096594,0.007290531201493378,[0.2 0.2 0.2 0.2 0.2]
1.0059024331385407,0.0,20.0,0.8103343137031728,-0.003337709367434558,0.010603906894643245,[0.2 0.2 0.2 0.2 0.2]
1.0037476473500453,0.0,20.0,0.9792235064109295,-0.002142141938927593,0.012723333759895336,[0.2 0.2 0.2 0.2 0.2]
0.9985258526417795,0.0,20.0,1.0,-0.005202298328719965,0.017859441510660493,[0.2 0.2 0.2 0.2 0.2]
0.9998149742517761,0.0,20.0,0.9410817953348756,0.001291024770751824,0.016591473721290734,[0.2 0.2 0.2 0.2 0.2]
1.0026940939574216,0.0,20.0,0.9281555851246506,0.0028796525155069105,0.013759598884821436,[0.2 0.2 0.2 0.2 0.2]
1.0030974519421567,0.0,20.0,0.9361799884010448,0.0004022742201893457,0.013362859796543664,[0.2 0.2 0.2 0.2 0.2]
1.001002872987444,0.0,20.0,0.8646836495461454,-0.0020881111308350612,0.015423067791097724,[0.2 0.2 0.2 0.2 0.2]
1.001088472928352,0.0,20.0,0.8798298715128838,8.551418104560464e-05,0.015338872501063354,[0.2 0.2 0.2 0.2 0.2]
1.0083279845351665,0.0,20.0,0.9461507686362007,0.007231640162270322,0.008218157545215736,[0.2 0.2 0.2 0.2 0.2]
1.009270678136573,0.0,20.0,0.9508198349594938,0.0009349077045015782,0.007290933059519934,[0.2 0.2 0.2 0.2 0.2]
1.0047547481148567,0.0,20.0,0.9218192607418036,-0.004474448846620688,0.011732758999121747,[0.2 0.2 0.2 0.2 0.2]
1.004597479199461,0.0,20.0,1.0,-0.0001565246799685989,0.011887447212742942,[0.2 0.2 0.2 0.2 0.2]
1.0075642705361043,0.0,20.0,0.8262886451069741,0.0029532139967219733,0.008969339391515044,[0.2 0.2 0.2 0.2 0.2]
1.0059576324231554,0.0,20.0,0.79522976659216,-0.0015945763063770029,0.010549613401814503,[0.2 0.2 0.2 0.2 0.2]
1.0089257680603372,0.0,20.0,0.8500591983920144,0.0029505573013368534,0.007630183339326542,[0.2 0.2 0.2 0.2 0.2]
1.0112403614769345,0.0,20.0,0.9683364082409317,0.002294116663356731,0.005353571206712894,[0.2 0.2 0.2 0.2 0.2]
1.012653423345324,0.0,20.0,0.9496776538855086,0.0013973550920431035,0.003963696954656002,[0.2 0.2 0.2 0.2 0.2]
1.0208611343121574,0.0,20.0,0.9192676466606194,0.008105153034212944,0.0,[0.2 0.2 0.2 0.2 0.2]
1.021643845386971,0.0,20.0,0.8496835927641243,0.00076671649894959,0.0,[0.2 0.2 0.2 0.2 0.2]
1.0190548459034423,0.0,20.0,0.9066410201830378,-0.002534150717217873,0.0025341507172178964,[0.2 0.2 0.2 0.2 0.2]
1.0179085778114465,0.0,20.0,0.8029900594948292,-0.0011248345431099102,0.003656134760063699,[0.2 0.2 0.2 0.2 0.2]
1.011064396344124,0.0,20.0,0.7941618105056307,-0.006723768338840223,0.01035532009576176,[0.2 0.2 0.2 0.2 0.2]
1.008722577123328,0.0,20.0,0.7637543825480358,-0.0023161919549967522,0.0126475271416614,[0.2 0.2 0.2 0.2 0.2]
1.0060934871047837,0.0,20.0,0.6884015005657239,-0.002606355878384172,0.01522091906333283,[0.2 0.2 0.2 0.2 0.2]
1.0032226850072932,0.0,20.0,0.8667597431154042,-0.0028534148508919583,0.018030902317725358,[0.2 0.2 0.2 0.2 0.2]
1.000184265337998,0.0,20.0,0.8169949983874513,-0.0030286592545234387,0.02100495211307681,[0.2 0.2 0.2 0.2 0.2]
1.0015855636155013,0.0,20.0,0.8258767932716492,0.001401040114373117,0.019633340779214588,[0.2 0.2 0.2 0.2 0.2]
1.0020601859797535,0.0,20.0,0.860474963307368,0.0004738710116175924,0.019168773438653315,[0.2 0.2 0.2 0.2 0.2]
1.0110242308503712,0.0,20.0,0.8517840041572244,0.008945615239520966,0.010394634670928148,[0.2 0.2 0.2 0.2 0.2]
1.0104100218493466,0.0,20.0,0.9509082548877378,-0.0006075116523249692,0.010995831461568975,[0.2 0.2 0.2 0.2 0.2]
1.0028153026118831,0.0,20.0,0.9000986288749518,-0.007516472593534714,0.01842965418927972,[0.2 0.2 0.2 0.2 0.2]
0.9963619120218599,0.0,20.0,0.8805555532076591,-0.006435273348158015,0.024746327675017683,[0.2 0.2 0.2 0.2 0.2]
1.0005758391430744,0.0,20.0,0.9481277342873744,0.004229313736675613,0.020621673921910243,[0.2 0.2 0.2 0.2 0.2]
1.0072705107838942,0.0,20.0,0.866444241831772,0.006690818805452391,0.014068831000134436,[0.2 0.2 0.2 0.2 0.2]
1.0073317307032466,0.0,20.0,0.8609708237248677,6.077803201524951e-05,0.014008908043980197,[0.2 0.2 0.2 0.2 0.2]
1.012062363690732,0.0,20.0,1.0,0.004696201701283513,0.00937849500048596,[0.2 0.2 0.2 0.2 0.2]
1.0074447243898135,0.0,20.0,1.0,-0.0045626035179088375,0.01389830816411294,[0.2 0.2 0.2 0.2 0.2]
