date,alpha,tau,ae_error,regime_label,llm_macro,llm_sentiment,llm_risk,r_normal,r_event,edge_event_minus_normal,week_return_fused,regret_ema_norm,w_normal_broad,w_normal_satellite,w_normal_fi,w_normal_safe,w_normal_cash,w_event_broad,w_event_satellite,w_event_fi,w_event_safe,w_event_cash,w_fused_broad,w_fused_satellite,w_fused_fi,w_fused_safe,w_fused_cash
2020-05-08,0.0,20.0,22.480093002319336,event_stress,57.0,57.2,33.0,0.0003314439477795142,-0.0010387327378153467,-0.001370176685594861,0.0003314439474480706,1.0,0.2,0.2,0.2,0.2,0.2,0.19083474984686363,0.16174280367257976,0.2553674546771085,0.21445281984374368,0.17760217195970449,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2020-05-15,0.0,20.0,18.325870513916016,bull_normal,57.45,57.4,34.72,-0.0028234730604965283,-0.00241672606532137,0.00040674699517515836,-0.0028234730576730555,1.0,0.2,0.2,0.2,0.2,0.2,0.1883499600387692,0.15575503963477697,0.2588553873907586,0.21745522708785672,0.17958438584783837,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2020-05-22,0.0,20.0,12.185969352722168,bull_normal,57.61,57.410000000000004,36.125,-0.0033464683827753223,-0.003655276264055844,-0.00030880788128052157,-0.003346468379428854,1.0,0.2,0.2,0.2,0.2,0.2,0.18772794595357617,0.1535295562328367,0.26013258416786844,0.21789540131261315,0.18071451233310556,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2020-05-29,0.0,20.0,14.688297271728516,bull_normal,61.0,61.0,47.25,-0.0020281855317475514,-0.0035897524251969457,-0.0015615668934493942,-0.0020281855297193657,1.0,0.2,0.2,0.2,0.2,0.2,0.1860361971470867,0.1452978650924572,0.26467096606477736,0.21832884646879566,0.185666125226883,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2020-06-05,0.0,20.0,16.467313766479492,bull_normal,61.470000000000006,61.67,49.48,0.00016669058836199011,-0.0019260058765618675,-0.0020926964649238575,0.00016669058819529942,1.0,0.2,0.2,0.2,0.2,0.2,0.18627309208078455,0.14914923884376127,0.26340402007911684,0.2184189330736934,0.18275471592264395,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2020-06-12,0.0008246608078479739,20.0,9.892292022705078,bull_normal,61.0,59.5,44.25,0.0004384023119326199,0.0008712023016852124,0.0004327999897525925,0.0004387592246830466,0.9502464895963606,0.2,0.2,0.2,0.2,0.2,0.18695816989409117,0.14875196299190058,0.2627765720409121,0.21764450210296915,0.183868792970127,0.19998924471385982,0.19995773755244253,0.2000517691785614,0.20001455052934375,0.19998669702579247
2020-06-19,0.0,20.0,16.091083526611328,bull_normal,64.12,62.379999999999995,43.449999999999996,-0.0026101457095259258,-0.0037949843665819583,-0.0011848386570560325,-0.0026101457069157797,1.0,0.2,0.2,0.2,0.2,0.2,0.19050973039847652,0.15955515265738646,0.25628917433059484,0.21460870492182943,0.17903723769171276,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2020-06-26,0.0,20.0,15.091196060180664,bull_normal,63.23,61.980000000000004,44.94,0.0042504439861097126,0.003643182066681743,-0.0006072619194279695,0.004250443981859268,0.9975261944283185,0.2,0.2,0.2,0.2,0.2,0.1890263901373829,0.15480843007033598,0.25913403077112646,0.21577046171159417,0.18126068730956044,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2020-07-03,0.0,20.0,26.05910873413086,event_stress,59.5,61.5,36.25,0.01075329834166771,0.009727485112188818,-0.0010258132294788912,0.01075329833091441,1.0,0.2,0.2,0.2,0.2,0.2,0.19040031574612434,0.16958780849362068,0.2530554940195812,0.2164479298820681,0.17050845185860578,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
2020-07-10,0.0,20.0,40.52382278442383,event_stress,59.7,63.6,36.7,0.0040173934704818975,0.0028301304268187806,-0.001187263043663117,0.004017393466464503,1.0,0.2,0.2,0.2,0.2,0.2,0.19131883123272722,0.17494266413824644,0.25101393703842106,0.21553348440817083,0.16719108318243453,0.1999999998,0.1999999998,0.1999999998,0.1999999998,0.1999999998
