date,code,weight
2015-01-02,000300.SH,0.19144494648504773
2015-01-02,000852.SH,0.16577978654019096
2015-01-02,CBA02701.CS,0.23422021305980903
2015-01-02,AU9999.SGE,0.20855505311495226
2015-01-02,NH0100.NHF,0.1999999998
2015-01-09,000300.SH,0.19207112874255067
2015-01-09,000852.SH,0.16828451557020271
2015-01-09,CBA02701.CS,0.23171548402979728
2015-01-09,AU9999.SGE,0.2079288708574493
2015-01-09,NH0100.NHF,0.1999999998
2015-01-16,000300.SH,0.19233581690048981
2015-01-16,000852.SH,0.16961518873317433
2015-01-16,CBA02701.CS,0.23050202452988008
2015-01-16,AU9999.SGE,0.20780588375344025
2015-01-16,NH0100.NHF,0.19974108508301544
2015-01-23,000300.SH,0.1924296042447726
2015-01-23,000852.SH,0.16971841757909042
2015-01-23,CBA02701.CS,0.23028158202090956
2015-01-23,AU9999.SGE,0.20757039535522737
2015-01-23,NH0100.NHF,0.1999999998
2015-01-30,000300.SH,0.19257355997561348
2015-01-30,000852.SH,0.17072924022385677
2015-01-30,CBA02701.CS,0.229636741445154
2015-01-30,AU9999.SGE,0.20766649739262819
2015-01-30,NH0100.NHF,0.19939395996274756
2015-02-06,000300.SH,0.19234175210110105
2015-02-06,000852.SH,0.1716794380601115
2015-02-06,CBA02701.CS,0.229218727526658
2015-02-06,AU9999.SGE,0.20844322068038781
2015-02-06,NH0100.NHF,0.19831686063174178
2015-02-13,000300.SH,0.19249255720310626
2015-02-13,000852.SH,0.16997022941242518
2015-02-13,CBA02701.CS,0.2300297701875748
2015-02-13,AU9999.SGE,0.2075074423968937
2015-02-13,NH0100.NHF,0.1999999998
2015-02-20,000300.SH,0.19249505225353408
2015-02-20,000852.SH,0.16998020961413637
2015-02-20,CBA02701.CS,0.23001978998586362
2015-02-20,AU9999.SGE,0.2075049473464659
2015-02-20,NH0100.NHF,0.1999999998
2015-02-27,000300.SH,0.19249603602819512
2015-02-27,000852.SH,0.1699841447127805
2015-02-27,CBA02701.CS,0.23001585488721948
2015-02-27,AU9999.SGE,0.20750396357180487
2015-02-27,NH0100.NHF,0.1999999998
2015-03-06,000300.SH,0.19249642364465028
2015-03-06,000852.SH,0.16998569517860115
2015-03-06,CBA02701.CS,0.23001430442139884
2015-03-06,AU9999.SGE,0.20750357595534968
2015-03-06,NH0100.NHF,0.1999999998
2015-03-13,000300.SH,0.19249657742463364
2015-03-13,000852.SH,0.16998631029853464
2015-03-13,CBA02701.CS,0.23001368930146535
2015-03-13,AU9999.SGE,0.20750342217536635
2015-03-13,NH0100.NHF,0.1999999998
2015-03-20,000300.SH,0.1924966374390603
2015-03-20,000852.SH,0.16998655035624124
2015-03-20,CBA02701.CS,0.23001344924375874
2015-03-20,AU9999.SGE,0.20750336216093968
2015-03-20,NH0100.NHF,0.1999999998
2015-03-27,000300.SH,0.19249666135542398
2015-03-27,000852.SH,0.16998664602169603
2015-03-27,CBA02701.CS,0.230013353578304
2015-03-27,AU9999.SGE,0.207503338244576
2015-03-27,NH0100.NHF,0.1999999998
2015-04-03,000300.SH,0.1924312788893105
2015-04-03,000852.SH,0.17124967286462467
2015-04-03,CBA02701.CS,0.22927026690450664
2015-04-03,AU9999.SGE,0.20824307335462153
2015-04-03,NH0100.NHF,0.1988057069869366
2015-04-10,000300.SH,0.19250309940168642
2015-04-10,000852.SH,0.17003943084509646
2015-04-10,CBA02701.CS,0.22998264259159176
2015-04-10,AU9999.SGE,0.20751259896327412
2015-04-10,NH0100.NHF,0.1999622271983512
2015-04-17,000300.SH,0.19250534941267272
2015-04-17,000852.SH,0.17008900928988244
