NAV,theta,tau,regret_ema_norm,week_return,max_drawdown,w_fused
1.0081261213955541,1.3599478900432587,15.0,1.0,0.008126121395554195,0.0,[0.12460194 0.1325643  0.24071575 0.302118   0.2       ]
1.013880284823739,1.3199012875556946,15.0,1.0,0.005707781304405882,0.0,[0.1299842  0.13783121 0.24530381 0.28688077 0.2       ]
1.0151022650396033,1.5910581350326538,15.0,1.0,0.0012052509888550366,0.0,[0.06479869 0.06778851 0.2674128  0.4        0.2       ]
1.0098192015008625,1.554027795791626,15.0,1.0,-0.00520446433890552,0.005204464338905547,[0.07400208 0.07437544 0.25297503 0.39864745 0.2       ]
1.0040927143575007,1.6377003192901611,15.0,0.9120761499464308,-0.005670804372555672,0.010845755212331344,[0.0567811  0.05467939 0.28853951 0.4        0.2       ]
1.0032289333352178,1.2660814225673676,15.0,0.9693177680712026,-0.0008602602229173679,0.01169668526345206,[0.13225588 0.14076284 0.24767844 0.27930284 0.2       ]
1.007948001834814,1.281188815832138,15.0,1.0,0.00470387998470859,0.0070478250824416045,[0.14798663 0.14568404 0.23674412 0.26958521 0.2       ]
1.0075393448924264,1.3471322655677795,15.0,1.0,-0.000405434547857269,0.007450402198523225,[0.12889392 0.12450076 0.2322131  0.29157376 0.22281846]
1.0011139217179241,1.4616851210594177,15.0,1.0,-0.006377342192217995,0.013780230626451666,[0.08960788 0.10525601 0.29052821 0.3146079  0.2       ]
0.9963058885690633,1.3512759506702423,15.0,1.0,-0.004802683335588939,0.01851673187805041,[0.12791668 0.13641514 0.25828009 0.27738808 0.2       ]
0.9925125366193288,1.6219245791435242,15.0,0.9986535900828707,-0.0038074169722942166,0.022253647931120706,[0.06386486 0.06417953 0.27195561 0.4        0.2       ]
0.9933153649650132,1.5971847176551819,15.0,0.9105157888164254,0.000808884841312808,0.021462763728283245,[0.06478723 0.07371693 0.28645422 0.37504162 0.2       ]
0.9956690011848084,1.6113219261169434,15.0,0.8800216605556743,0.0023694752973826435,0.019144143919368323,[0.06415336 0.06457765 0.271269   0.4        0.2       ]
1.0007126220319302,1.1959994733333588,15.0,0.7471393520732742,0.005065559780529488,0.014175559944309347,[0.14715679 0.15262663 0.24269377 0.2575228  0.2       ]
