date,theta,tau,ae_error,regime_label,llm_macro,llm_sentiment,llm_risk,r_event,edge_event_minus_normal,week_return_fused,regret_ema_norm,w_event_broad,w_event_satellite,w_event_fi,w_event_safe,w_event_cash,w_fused_broad,w_fused_satellite,w_fused_fi,w_fused_safe,w_fused_cash
2021-01-01,1.3599478900432587,15.0,11.72562026977539,bull_normal,60.5,64.3,50.75,0.008126121403680317,0.008126121403680317,0.008126121395554195,1.0,0.12460194265703059,0.1325643027784192,0.24071575306834125,0.3021180010983445,0.20000000039786442,0.12460194253242864,0.1325643026458549,0.24071575282762547,0.30211800079622647,0.2000000001978644
2021-01-08,1.3199012875556946,15.0,11.150801658630371,bull_normal,58.5,60.5,47.25,0.005707781310113664,0.005707781310113664,0.005707781304405882,1.0,0.1299842046889816,0.13783120945342173,0.2453038129943998,0.2868807725264822,0.20000000033671458,0.1299842045589974,0.1378312093155905,0.24530381274909596,0.2868807722396014,0.20000000013671457
2021-01-15,1.5910581350326538,15.0,18.64406967163086,event_stress,58.1,59.6,49.599999999999994,0.0012052509900602876,0.0012052509900602876,0.0012052509888550366,1.0,0.06479868949566067,0.06778850761856588,0.2674128019249715,0.4000000006405346,0.2000000003202673,0.06479868943086198,0.06778850755077737,0.2674128016575587,0.40000000024053456,0.20000000012026728
2021-01-22,1.554027795791626,15.0,17.28256607055664,event_stress,58.220000000000006,58.120000000000005,50.25,-0.005204464344109984,-0.005204464344109984,-0.00520446433890552,1.0,0.07400208006793718,0.0743754354901685,0.2529750282770435,0.3986474553423019,0.2000000008225489,0.0740020799939351,0.07437543541579307,0.25297502802406846,0.3986474549436544,0.20000000062254888
2021-01-29,1.6377003192901611,15.0,20.938508987426758,event_stress,53.5,52.5,47.25,-0.005670804378226475,-0.005670804378226475,-0.005670804372555672,0.9120761499464308,0.05678109970554406,0.054679392893195296,0.2885395064686853,0.4000000006217168,0.2000000003108584,0.05678109964876297,0.05467939283851591,0.28853950618014584,0.4000000002217169,0.20000000011085844
2021-02-05,1.2660814225673676,15.0,9.665470123291016,bull_normal,56.0,52.5,49.75,-0.0008602602237776279,-0.0008602602237776279,-0.0008602602229173679,0.9693177680712026,0.1322558773058686,0.14076283795828748,0.24767844516939805,0.27930283918823273,0.2000000003782131,0.1322558771736127,0.14076283781752463,0.2476784449217196,0.2793028389089299,0.2000000001782131
2021-02-12,1.281188815832138,15.0,10.595335960388184,bull_normal,57.5,59.5,39.0,0.0047038799894124714,0.0047038799894124714,0.00470387998470859,1.0,0.14798662877867289,0.14568404510300384,0.236744120014022,0.26958520583380857,0.2000000002704927,0.14798662863068623,0.1456840449573198,0.23674411977727786,0.26958520556422333,0.20000000007049268
2021-02-19,1.3471322655677795,15.0,12.112592697143555,bull_normal,57.529999999999994,59.470000000000006,41.045,-0.0004054345482627038,-0.0004054345482627038,-0.000405434547857269,1.0,0.12889391521341118,0.12450076486639547,0.2322130988082152,0.291573756359048,0.2228184647529302,0.12889391508451725,0.1245007647418947,0.23221309857600209,0.2915737560674742,0.22281846453011173
2021-02-26,1.4616851210594177,15.0,14.848400115966797,bull_normal,55.879999999999995,56.42999999999999,43.125,-0.006377342198595336,-0.006377342198595336,-0.006377342192217995,1.0,0.08960787645155585,0.10525600568850711,0.2905282124348323,0.314607905103116,0.20000000032198875,0.08960787636194799,0.10525600558325113,0.29052821214430413,0.31460790478850814,0.2000000001219888
2021-03-05,1.3512759506702423,15.0,11.65086555480957,bull_normal,58.0,57.3,40.75,-0.004802683340391622,-0.004802683340391622,-0.004802683335588939,1.0,0.127916684671513,0.1364151368792137,0.258280094160268,0.2773880840622443,0.20000000022676093,0.1279166845435963,0.13641513674279857,0.2582800939019879,0.27738808378485624,0.20000000002676097
