date,code,weight
2021-01-01,000300.SH,0.12460194253242864
2021-01-01,000852.SH,0.1325643026458549
2021-01-01,CBA02701.CS,0.24071575282762547
2021-01-01,AU9999.SGE,0.30211800079622647
2021-01-01,NH0100.NHF,0.2000000001978644
2021-01-08,000300.SH,0.1299842045589974
2021-01-08,000852.SH,0.1378312093155905
2021-01-08,CBA02701.CS,0.24530381274909596
2021-01-08,AU9999.SGE,0.2868807722396014
2021-01-08,NH0100.NHF,0.20000000013671457
2021-01-15,000300.SH,0.06479868943086198
2021-01-15,000852.SH,0.06778850755077737
2021-01-15,CBA02701.CS,0.2674128016575587
2021-01-15,AU9999.SGE,0.40000000024053456
2021-01-15,NH0100.NHF,0.20000000012026728
2021-01-22,000300.SH,0.0740020799939351
2021-01-22,000852.SH,0.07437543541579307
2021-01-22,CBA02701.CS,0.25297502802406846
2021-01-22,AU9999.SGE,0.3986474549436544
2021-01-22,NH0100.NHF,0.20000000062254888
2021-01-29,000300.SH,0.05678109964876297
2021-01-29,000852.SH,0.05467939283851591
2021-01-29,CBA02701.CS,0.28853950618014584
2021-01-29,AU9999.SGE,0.4000000002217169
2021-01-29,NH0100.NHF,0.20000000011085844
2021-02-05,000300.SH,0.1322558771736127
2021-02-05,000852.SH,0.14076283781752463
2021-02-05,CBA02701.CS,0.2476784449217196
2021-02-05,AU9999.SGE,0.2793028389089299
2021-02-05,NH0100.NHF,0.2000000001782131
2021-02-12,000300.SH,0.14798662863068623
2021-02-12,000852.SH,0.1456840449573198
2021-02-12,CBA02701.CS,0.23674411977727786
2021-02-12,AU9999.SGE,0.26958520556422333
2021-02-12,NH0100.NHF,0.20000000007049268
2021-02-19,000300.SH,0.12889391508451725
2021-02-19,000852.SH,0.1245007647418947
2021-02-19,CBA02701.CS,0.23221309857600209
2021-02-19,AU9999.SGE,0.2915737560674742
2021-02-19,NH0100.NHF,0.22281846453011173
2021-02-26,000300.SH,0.08960787636194799
2021-02-26,000852.SH,0.10525600558325113
2021-02-26,CBA02701.CS,0.29052821214430413
2021-02-26,AU9999.SGE,0.31460790478850814
2021-02-26,NH0100.NHF,0.2000000001219888
2021-03-05,000300.SH,0.1279166845435963
2021-03-05,000852.SH,0.13641513674279857
2021-03-05,CBA02701.CS,0.2582800939019879
2021-03-05,AU9999.SGE,0.27738808378485624
2021-03-05,NH0100.NHF,0.20000000002676097
2021-03-12,000300.SH,0.06386486150956036
2021-03-12,000852.SH,0.06417952792372912
2021-03-12,CBA02701.CS,0.2719556092471515
2021-03-12,AU9999.SGE,0.4000000002130394
2021-03-12,NH0100.NHF,0.2000000001065197
2021-03-19,000300.SH,0.06478722693172008
2021-03-19,000852.SH,0.0737169324353104
2021-03-19,CBA02701.CS,0.2864542225456853
2021-03-19,AU9999.SGE,0.3750416168152551
2021-03-19,NH0100.NHF,0.20000000027202908
2021-03-26,000300.SH,0.06415335664138508
2021-03-26,000852.SH,0.06457764651411045
2021-03-26,CBA02701.CS,0.2712689954956107
2021-03-26,AU9999.SGE,0.40000000023259585
2021-03-26,NH0100.NHF,0.20000000011629793
2021-04-02,000300.SH,0.1471567927412964
2021-04-02,000852.SH,0.15262663395724052
2021-04-02,CBA02701.CS,0.24269377400024955
2021-04-02,AU9999.SGE,0.25752279822160373
2021-04-02,NH0100.NHF,0.2000000000796096
2021-04-09,000300.SH,0.18187941964684834
2021-04-09,000852.SH,0.1779876007397348
2021-04-09,CBA02701.CS,0.21748742406853783
2021-04-09,AU9999.SGE,0.22264555429256824
2021-04-09,NH0100.NHF,0.20000000025231077
2021-04-16,000300.SH,0.18033977752497754
2021-04-16,000852.SH,0.17737726349561034
2021-04-16,CBA02701.CS,0.2118862250814099
2021-04-16,AU9999.SGE,0.2303967324198097
2021-04-16,NH0100.NHF,0.20000000047819239
2021-04-23,000300.SH,0.16432826594131078
2021-04-23,000852.SH,0.17488392522016652
2021-04-23,CBA02701.CS,0.23810911181374736
2021-04-23,AU9999.SGE,0.22267869527927198
2021-04-23,NH0100.NHF,0.20000000074550314
