date,theta,tau,ae_error,regime_label,llm_macro,llm_sentiment,llm_risk,r_event,edge_event_minus_normal,week_return_fused,regret_ema_norm,w_event_0,w_event_1,w_event_2,w_event_3,w_event_4,w_event_5,w_event_6,w_event_7,w_fused_0,w_fused_1,w_fused_2,w_fused_3,w_fused_4,w_fused_5,w_fused_6,w_fused_7
2023-01-06,1.4364015758037567,15.0,9.99757194519043,bull_normal,59.0,63.3,33.7,0.0,0.0,0.0,0.0,0.24216510710275926,0.2395848429218853,0.18162383032706944,0.08159130323697178,0.07510617070875189,0.07802006217814005,0.05299271429978669,0.04891596922463547,0.24216510686059414,0.23958484268230046,0.1816238301454456,0.08159130315538048,0.07510617063364572,0.07802006210011998,0.05299271424679397,0.04891596917571949
2023-01-13,1.3154087364673615,15.0,6.9903154373168945,bull_normal,53.9,57.5,40.55,0.018384310649008823,0.018384310649008823,0.018384310630624505,0.0,0.22086256054617814,0.24259092127488743,0.1656469204096336,0.09215131611271339,0.08228257365363749,0.07953055130181133,0.0596479134763585,0.057287243224780154,0.22086256032531557,0.24259092103229649,0.16564692024398667,0.09215131602056206,0.0822825735713549,0.07953055122228077,0.05964791341671058,0.0572872431674929
2023-01-20,1.5475419163703918,15.0,12.118915557861328,bull_normal,55.25,58.85,43.45,0.006759909237071066,0.006759909237071066,0.006759909230311156,0.0,0.23413046215886213,0.31208360914156485,0.1755978466191466,0.08677955064619722,0.05657534223776383,0.05481092885940079,0.041108196644550586,0.038914063692514024,0.23413046192473164,0.3120836088294812,0.17559784644354873,0.08677955055941766,0.05657534218118848,0.054810928804589855,0.041108196603442386,0.03891406365359996
2023-01-27,1.5426809787750244,15.0,12.118915557861328,bull_normal,52.0,64.0,37.75,0.0,0.0,0.0,0.0,0.2345773255050104,0.30067735274705987,0.17593299412875776,0.08673462846711291,0.06021280112794816,0.05766651529406306,0.04324988647054729,0.04094849625950055,0.23457732527043304,0.3006773524463825,0.17593299395282475,0.08673462838037828,0.060212801067735355,0.05766651523639654,0.0432498864272974,0.040948496218552045
2023-02-03,1.5335122346878052,15.0,11.611235618591309,bull_normal,52.55,64.45,38.5,0.002623571619335057,0.002623571619335057,0.002623571616711485,0.0,0.23176981200543129,0.29605365515728105,0.17382735900407345,0.08760313059128638,0.06294226864675213,0.060202030304345996,0.045151522728259494,0.04245022156257019,0.23176981177366146,0.29605365486122737,0.17382735883024608,0.08760313050368325,0.06294226858380986,0.06020203024414396,0.045151522683107966,0.042450221520119964
2023-02-10,1.2701484262943268,15.0,6.392075538635254,bull_normal,54.9,62.6,35.3,-0.00558302686472098,-0.00558302686472098,-0.005583026859137953,0.0,0.2178189138224621,0.22108791621513835,0.16336418536684655,0.08947112025003298,0.09191720313626286,0.08927551845620592,0.06546153475886131,0.061603607994190006,0.21781891360464317,0.22108791599405042,0.16336418520348234,0.08947112016056186,0.09191720304434566,0.08927551836693039,0.06546153469339977,0.061603607932586395
2023-02-17,1.3457848727703094,15.0,7.576375484466553,bull_normal,52.0,57.0,40.75,-0.011495596619638192,-0.011495596619638192,-0.011495596608142596,0.0,0.2321226684432864,0.24326297905137376,0.1740920013324648,0.08973508383566865,0.07557930845533867,0.07674627637310784,0.05501782711716755,0.053443855391592444,0.23212266821116373,0.24326297880811076,0.17409200115837278,0.08973508374593356,0.07557930837975935,0.07674627629636156,0.05501782706214972,0.053443855338148584
2023-02-24,1.5499112606048584,15.0,11.402806282043457,bull_normal,52.8,58.5,43.65,0.006843874227910963,0.006843874227910963,0.006843874221067089,0.0,0.24717011430718727,0.29179947120358696,0.18537758573039045,0.08400297877555285,0.055108234630052044,0.05790273273341995,0.040183481104201293,0.03845540151560931,0.24717011406001713,0.2917994709117875,0.18537758554501285,0.08400297869154986,0.05510823457494381,0.05790273267551721,0.04018348106401781,0.03845540147715391
2023-03-03,1.4828895330429077,15.0,10.203221321105957,bull_normal,52.8,62.0,37.25,0.003050992768145681,0.003050992768145681,0.0030509927650946883,0.0,0.27146161809442954,0.23250440233779435,0.20359621357082214,0.0756541332479599,0.05991961688941424,0.07304857201972073,0.04298050971425915,0.040834934125600006,0.2714616178229679,0.23250440210528991,0.20359621336722591,0.07565413317230577,0.059919616829494614,0.07304857194667215,0.04298050967127864,0.040834934084765066
2023-03-10,1.5199723839759827,15.0,10.918230056762695,bull_normal,53.25,61.4,39.55,-0.016320360449886773,-0.016320360449886773,-0.01632036043356641,0.0,0.24490093665834925,0.2749121340847833,0.18367570249376194,0.08411409350637669,0.061733739241236506,0.06404014707434845,0.044474313530169965,0.042148933410973845,0.2449009364134483,0.2749121338098712,0.18367570231008623,0.08411409342226259,0.06173373917950276,0.0640401470103083,0.044474313485695645,0.04214893336882491
