NAV,theta,tau,regret_ema_norm,week_return,max_drawdown,w_fused
1.0,1.4364015758037567,15.0,0.0,0.0,0.0,"[0.24216511 0.23958484 0.18162383 0.0815913  0.07510617 0.07802006
 0.05299271 0.04891597]"
1.0183843106306245,1.3154087364673615,15.0,0.0,0.018384310630624505,0.0,"[0.22086256 0.24259092 0.16564692 0.09215132 0.08228257 0.07953055
 0.05964791 0.05728724]"
1.0252684961320606,1.5475419163703918,15.0,0.0,0.006759909230311156,0.0,"[0.23413046 0.31208361 0.17559785 0.08677955 0.05657534 0.05481093
 0.0411082  0.03891406]"
1.0252684961320606,1.5426809787750244,15.0,0.0,0.0,0.0,"[0.23457733 0.30067735 0.17593299 0.08673463 0.0602128  0.05766652
 0.04324989 0.0409485 ]"
1.0279583614580212,1.5335122346878052,15.0,0.0,0.002623571616711485,0.0,"[0.23176981 0.29605365 0.17382736 0.08760313 0.06294227 0.06020203
 0.04515152 0.04245022]"
1.0222192423159258,1.2701484262943268,15.0,0.0,-0.005583026859137953,0.005583026859137845,"[0.21781891 0.22108792 0.16336419 0.08947112 0.0919172  0.08927552
 0.06546153 0.06160361]"
1.0104682222611807,1.3457848727703094,15.0,0.0,-0.011495596608142596,0.017014443242655358,"[0.23212267 0.24326298 0.174092   0.08973508 0.07557931 0.07674628
 0.05501783 0.05344386]"
1.0173837396787215,1.5499112606048584,15.0,0.0,0.006843874221067089,0.010287013731082456,"[0.24717011 0.29179947 0.18537759 0.08400298 0.05510823 0.05790273
 0.04018348 0.0384554 ]"
1.0204877701078063,1.4828895330429077,15.0,0.0,0.0030509927650946883,0.007267406570455685,"[0.27146162 0.2325044  0.20359621 0.07565413 0.05991962 0.07304857
 0.04298051 0.04083493]"
1.0038330418816004,1.5199723839759827,15.0,0.0,-0.01632036043356641,0.02346916030937508,"[0.24490094 0.27491213 0.1836757  0.08411409 0.06173374 0.06404015
 0.04447431 0.04214893]"
