NAV,alpha,tau,regret_ema_norm,week_return,max_drawdown,w_fused
0.9979306694425176,0.0,20.0,1.0,-0.0020693305574823783,0.002069330557482374,[0.2 0.2 0.2 0.2 0.2]
1.0008570369337704,0.0,20.0,1.0,0.0029324356699923547,0.0,[0.2 0.2 0.2 0.2 0.2]
0.9969158318821028,0.0,20.0,1.0,-0.003937830185759549,0.003937830185759506,[0.2 0.2 0.2 0.2 0.2]
0.9888630123504263,0.0,20.0,1.0,-0.008077732617079012,0.01198375406350644,[0.2 0.2 0.2 0.2 0.2]
0.9832056861782883,0.0,20.0,0.9932112268794928,-0.0057210413388716986,0.017636235849985953,[0.2 0.2 0.2 0.2 0.2]
0.9791220416945502,0.0,20.0,1.0,-0.004153397952376779,0.02171638349649576,[0.2 0.2 0.2 0.2 0.2]
0.9741513363356895,0.0,20.0,1.0,-0.005076696414941243,0.026682832425194866,[0.2 0.2 0.2 0.2 0.2]
0.971107629682847,0.0,20.0,1.0,-0.003124470027718197,0.029723932742745904,[0.2 0.2 0.2 0.2 0.2]
0.9633541101970087,0.0,20.0,0.960112058625719,-0.007984202006908914,0.03747081286619697,[0.2 0.2 0.2 0.2 0.2]
0.9635563975805527,0.0,20.0,1.0,0.00020998237450061622,0.037268698701956565,[0.2 0.2 0.2 0.2 0.2]
0.9619183563136536,0.0,20.0,0.9636124694376587,-0.0016999952166910509,0.038905337309122025,[0.2 0.2 0.2 0.2 0.2]
0.9694584748641112,0.0,20.0,1.0,0.007838626325162896,0.031371675385179834,[0.2 0.2 0.2 0.2 0.2]
0.9648881648226236,0.0,20.0,1.0,-0.004714291699939185,0.03593807185623746,[0.2 0.2 0.2 0.2 0.2]
0.9666973717035597,0.0,20.0,0.9923564419595666,0.0018750430846755672,0.034130414204672346,[0.2 0.2 0.2 0.2 0.2]
0.9725907108492905,0.0,20.0,0.9027283806629642,0.00609636409308247,0.028242121543229297,[0.2 0.2 0.2 0.2 0.2]
0.9674555659059105,0.0,20.0,0.8808551371333092,-0.005279862213464755,0.033372869246329845,[0.2 0.2 0.2 0.2 0.2]
0.9735920968299153,0.0,20.0,0.8179960621860467,0.006342958932959959,0.02724159305247434,[0.2 0.2 0.2 0.2 0.2]
0.9791723732004862,0.0,20.0,0.8047920955233192,0.005731636882366488,0.021666095089581797,[0.2 0.2 0.2 0.2 0.2]
0.9763862952167042,0.0,20.0,0.775649991366575,-0.002845339656260516,0.024449787346287603,[0.2 0.2 0.2 0.2 0.2]
0.9729310598279859,0.0,20.0,0.7652588902726561,-0.0035387995567383052,0.02790206400640257,[0.2 0.2 0.2 0.2 0.2]
0.9698354965745956,0.0,20.0,0.9447426999871457,-0.003181688180391337,0.030994976519536227,[0.2 0.2 0.2 0.2 0.2]
0.9610936965512747,0.0,20.0,1.0,-0.009013693615253705,0.039729290912830825,[0.2 0.2 0.2 0.2 0.2]
0.9603877134471465,0.0,20.0,1.0,-0.0007345622041446762,0.040434669481473486,[0.2 0.2 0.2 0.2 0.2]
0.9600280295356852,0.0,20.0,0.870995356105777,-0.0003745194846050829,0.04079404539450415,[0.2 0.2 0.2 0.2 0.2]
0.9648212411688208,0.0,20.0,1.0,0.004992783008068965,0.03600493820311134,[0.2 0.2 0.2 0.2 0.2]
0.9678404014105995,0.0,20.0,1.0,0.003129243131215712,0.032988363277457494,[0.2 0.2 0.2 0.2 0.2]
0.9645831838082692,0.0,20.0,0.8961626579047951,-0.00336544909427513,0.03624279171441893,[0.2 0.2 0.2 0.2 0.2]
0.969170719542947,0.0,20.0,0.7672833900107026,0.00475597730883683,0.03165918430058475,[0.2 0.2 0.2 0.2 0.2]
0.9730569352063382,0.0,20.0,0.7421165636173115,0.004009836022722437,0.02777629641552074,[0.2 0.2 0.2 0.2 0.2]
0.9637015968378622,0.0,20.0,0.75770424314296,-0.009614379210495247,0.03712362377921403,[0.2 0.2 0.2 0.2 0.2]
0.9601006475131287,0.0,20.0,0.7131772166227098,-0.003736581257672468,0.04072148960005624,[0.2 0.2 0.2 0.2 0.2]
0.9609742269925396,0.0,20.0,0.7354329202810594,0.0009098832311732695,0.03984865816941834,[0.2 0.2 0.2 0.2 0.2]
0.953998423503341,0.0,20.0,0.6557909499245546,-0.007259095294397359,0.04681848825681003,[0.2 0.2 0.2 0.2 0.2]
0.9497657042059658,0.0,20.0,0.8278094639679427,-0.004436820012586043,0.051047583063739195,[0.2 0.2 0.2 0.2 0.2]
0.9480170923983446,0.0,20.0,0.8953939304056622,-0.0018410980727958583,0.052794697529735514,[0.2 0.2 0.2 0.2 0.2]
0.9481109650715113,0.0,20.0,0.7801302178271784,9.902002181127314e-05,0.05270090524002527,[0.2 0.2 0.2 0.2 0.2]
0.9567899548020534,0.0,20.0,0.7829965455883146,0.009153980968765041,0.04402934735486403,[0.2 0.2 0.2 0.2 0.2]
0.9540067110238944,0.0,20.0,0.8791839666021296,-0.0029089391712256683,0.04681020783288567,[0.2 0.2 0.2 0.2 0.2]
0.9596714541275801,0.0,20.0,0.9051153671765533,0.005937844082465478,0.04115031546599956,[0.2 0.2 0.2 0.2 0.2]
0.9579724270849803,0.0,20.0,0.772153101840772,-0.0017704257381964288,0.042847887626560055,[0.2 0.2 0.2 0.2 0.2]
0.9573867287434511,0.0,20.0,0.701598409862167,-0.0006113937363640586,0.04343308443281278,[0.2 0.2 0.2 0.2 0.2]
0.955261491294314,0.0,20.0,0.6713294379190592,-0.002219831741271825,0.04555650203463926,[0.2 0.2 0.2 0.2 0.2]
0.95096673767625,0.0,20.0,0.6132795104480397,-0.004495893173967527,0.04984757804207936,[0.2 0.2 0.2 0.2 0.2]
0.9472259091373642,0.0,20.0,0.5785343185970403,-0.003933711233714409,0.05358520329807617,[0.2 0.2 0.2 0.2 0.2]
0.9447647209778001,0.0,20.0,0.577125952897256,-0.002598311697159432,0.056044283934711545,[0.2 0.2 0.2 0.2 0.2]
0.9476295965654518,0.0,20.0,0.6863636184411294,0.0030323693550776934,0.053181861548764656,[0.2 0.2 0.2 0.2 0.2]
0.9543673824042541,0.0,20.0,0.7873709652742428,0.007110147111511199,0.04644984529652921,[0.2 0.2 0.2 0.2 0.2]
0.9561802734756253,0.0,20.0,0.9315149957153577,0.0018995735864359832,0.04463850660931255,[0.2 0.2 0.2 0.2 0.2]
0.9475530263556788,0.0,20.0,0.9165134884165821,-0.009022615671192665,0.05325836619123338,[0.2 0.2 0.2 0.2 0.2]
0.9432837181503301,0.0,20.0,0.8896076364568535,-0.004505614025389856,0.05752401857494268,[0.2 0.2 0.2 0.2 0.2]
0.9450602384944976,0.0,20.0,0.8874783497790584,0.001883336169154947,0.05574901947056501,[0.2 0.2 0.2 0.2 0.2]
0.953122038370936,0.0,20.0,0.8573485898477523,0.008530461390779776,0.047694122937952756,[0.2 0.2 0.2 0.2 0.2]
0.9616690060928644,0.0,20.0,0.7858576651108636,0.008967338260834703,0.03915447401055654,[0.2 0.2 0.2 0.2 0.2]
0.9600282713047488,0.0,20.0,0.7396775491954962,-0.0017061325442749911,0.040793803832468195,[0.2 0.2 0.2 0.2 0.2]
