NAV,theta,tau,regret_ema_norm,week_return,max_drawdown,w_fused
1.0,0.5330924391746521,15.0,0.0,0.0,0.0,"[0.21614386 0.21528626 0.16210789 0.09334416 0.09051868 0.09180646
 0.06636771 0.06442498]"
1.0170774505700635,0.3841691017150879,15.0,0.0,0.017077450570063466,0.0,"[0.20650023 0.21223764 0.15487517 0.097935   0.09474815 0.09381148
 0.07035861 0.06953372]"
1.0272002015966641,0.5756224393844604,15.0,0.0,0.009952782869118573,0.0,"[0.21605127 0.24042642 0.16203845 0.09664251 0.08242555 0.08145986
 0.0610949  0.05986103]"
1.0272002015966641,0.5927945673465729,15.0,0.0,0.0,0.0,"[0.21607858 0.2377064  0.16205894 0.09620971 0.08362033 0.08224342
 0.06168256 0.06040005]"
1.03051587967066,0.5761229991912842,15.0,0.0,0.003227879111435082,0.0,"[0.21437918 0.23503005 0.16078439 0.09649476 0.08522429 0.08381097
 0.06285823 0.06141812]"
1.0250775834119559,0.39289796352386475,15.0,0.0,-0.005277256145186378,0.005277256145186311,"[0.20560984 0.20655946 0.15420738 0.09673915 0.09754966 0.09667368
 0.07200054 0.07066031]"
1.013599591310251,0.3929992914199829,15.0,0.0,-0.011197193546561263,0.016415359233295145,"[0.20986204 0.21275463 0.15739653 0.09733692 0.09257732 0.09299248
 0.06883052 0.06824957]"
1.0201599684318938,0.5308626294136047,15.0,0.0,0.006472355728914995,0.010049249548755846,"[0.21879567 0.23159538 0.16409676 0.09584719 0.08296081 0.08437834
 0.06162334 0.06070251]"
1.022933693881495,0.5057962238788605,15.0,0.0,0.002718912264186257,0.007357660312413712,"[0.22495742 0.21337957 0.16871807 0.09214813 0.08510335 0.09105312
 0.06286442 0.06177592]"
1.0069732795220345,0.5309543013572693,15.0,0.0,-0.01560258935151412,0.022845451111485383,"[0.21744766 0.22640799 0.16308575 0.09535727 0.08559024 0.08669395
 0.06329673 0.0621204 ]"
1.0008878675047597,0.888561449944973,15.0,0.0,-0.006043270602138813,0.028750660470529595,"[0.23479818 0.30562118 0.17609864 0.08971769 0.05617055 0.05539702
 0.04154777 0.04064895]"
0.9896025382202215,1.4174333214759827,15.0,0.0,-0.011275318295817531,0.0397018059183269,"[0.26179947 0.4        0.19634961 0.0702754  0.02054516 0.02046523
 0.01534892 0.01521621]"
0.9925823113884639,1.0230708606541157,15.0,0.0,0.0030110807654167193,0.036810270497063244,"[0.23929753 0.34867843 0.17947315 0.08451944 0.04270861 0.04239166
 0.03179375 0.03113743]"
1.0084638222365947,1.2111621797084808,15.0,0.0,0.016000195314699206,0.021399046699904136,"[0.2475093  0.38542551 0.18563198 0.07498168 0.03071014 0.03035621
 0.02276716 0.02261801]"
0.9995673552213763,0.9589994959533215,15.0,0.0,-0.008821800860924926,0.030032069432228845,"[0.24242796 0.32082639 0.18182097 0.08591837 0.0488147  0.04819543
 0.03614657 0.03584961]"
0.9791537937229329,0.6061075627803802,15.0,0.0,-0.020422397141933807,0.049841139725223596,"[0.21765029 0.24200748 0.16323771 0.09567294 0.08166495 0.08045799
 0.06034349 0.05896514]"
0.9817407473380163,0.5751158893108368,15.0,0.0,0.002642029915696204,0.047330791591713814,"[0.21462233 0.24729304 0.16096674 0.09749224 0.08078537 0.08022636
 0.06013235 0.05848157]"
0.9811733840721621,0.623583972454071,15.0,0.0,-0.0005779155723062097,0.047881353962509574,"[0.21709089 0.25535051 0.16281817 0.09675108 0.07753487 0.07686551
 0.05764913 0.05593983]"
0.9720739833412245,0.33464205265045166,15.0,0.0,-0.009273998743394758,0.05671130108942399,"[0.20683862 0.20684498 0.15512896 0.09750623 0.0958041  0.09581668
 0.07129386 0.07076656]"
