date,NAV,alpha,tau,regret_ema_norm,week_return,max_drawdown
2021-01-01,1.0075898470480196,0.2943665385246277,0.5025753378868103,1.0,0.0075898470480196675,0.0
2021-01-08,1.0144037808772925,0.09742361307144165,0.5115793347358704,1.0,0.006762606678933914,0.0
2021-01-15,1.015751185436577,0.0,0.5161226987838745,1.0,0.0013282724144810494,0.0
2021-01-22,1.0106101950554265,0.0,0.5183061361312866,1.0,-0.005061269388468422,0.0050612693884683315
2021-01-29,1.0022064240751298,0.0,0.5132206082344055,1.0,-0.008315541463378633,0.013334723656389913
2021-02-05,1.002802120936908,0.0,0.5043835639953613,0.8402177905289175,0.0005943853955314229,0.012748264225853144
2021-02-12,1.0093148809222583,0.0,0.49765580892562866,0.7060878461390454,0.006494561438766608,0.006336497172338902
2021-02-19,1.0117527019486958,0.0,0.4944371283054352,0.6471829585898363,0.0024153225841770844,0.003936479272886751
2021-02-26,1.0000076076359592,0.0,0.47868120670318604,0.9926528204264239,-0.01160866117788947,0.015499443196663519
2021-03-05,0.9950223546885402,0.0,0.46050652861595154,1.0,-0.004985215021718034,0.02040739016132921
2021-03-12,0.9883038393381723,0.0,0.44011935591697693,1.0,-0.006752125033885125,0.027021721945229775
2021-03-19,0.9860114151057505,0.0,0.41877681016921997,1.0,-0.0023195541099556723,0.0292785977089893
2021-03-26,0.9884496741742248,0.0,0.39793169498443604,0.9820180578137443,0.0024728507511373268,0.02687814856018885
2021-04-02,0.9935389830826516,0.0,0.3823261857032776,0.8284108053999699,0.005148778983288745,0.021867759223316525
2021-04-09,0.9918906724824088,0.0,0.3763255476951599,0.8794938153553917,-0.0016590296186754683,0.023490509581746467
2021-04-16,0.991224659840667,0.0,0.3656578063964844,0.9711258331651011,-0.0006714577122446778,0.02414619441016787
2021-04-23,0.9995165550192155,0.0,0.36009731888771057,0.8634671409837844,0.008365303562848519,0.015982881093447848
2021-04-30,0.9945350970163004,0.0,0.3536853492259979,0.7566721244343102,-0.004983867428608488,0.02088709196155931
2021-05-07,0.9937080974205603,0.0,0.3432230055332184,0.8219595660885799,-0.0008315439024938417,0.021701267330091725
2021-05-14,0.9946917146871996,0.0,0.3353407680988312,0.7407433592519541,0.0009898452766889667,0.020732902950367622
2021-05-21,0.9970783834918885,0.0,0.32837483286857605,0.891622252069476,0.002399405533843621,0.01838324405859577
2021-05-28,0.9994152783028613,0.0,0.32463791966438293,0.7387264393981142,0.0023437423272467455,0.0160825873185612
2021-06-04,0.9954178601657415,0.0,0.31950950622558594,0.6526242599132669,-0.003999756881751844,0.020018017761009185
2021-06-11,0.9953938166482996,0.0,0.3159743547439575,0.7170507392738178,-2.4154195342510155e-05,0.020041688437240354
2021-06-18,0.9827192022290461,0.0,0.30594781041145325,0.9311989786645578,-0.012733266177935168,0.032519758461648854
2021-06-25,0.9864193888017094,0.0,0.29459166526794434,0.7621967762652588,0.0037652531509208714,0.028876950433742894
2021-07-02,0.9898542690123638,0.0,0.28458738327026367,1.0,0.0034821702104081576,0.025495334679902476
2021-07-09,0.9901352877658345,0.0,0.27348774671554565,1.0,0.00028389911754496844,0.02521867366537473
2021-07-16,0.993526068488091,0.0,0.265910267829895,0.8327630864563953,0.0034245630512853087,0.021880473552126394
2021-07-23,0.992367837805477,0.0,0.257246196269989,0.8234463204266634,-0.0011657778485637679,0.023020743629306947
2021-07-30,0.9887145279961977,0.0,0.24035267531871796,0.9641249881471061,-0.0036814069038736113,0.02661740180865136
2021-08-06,0.9898213264241623,0.0,0.22238244116306305,0.8325826365376612,0.001119431743566764,0.025527766429600474
2021-08-13,0.9881959578113798,0.0,0.20343607664108276,0.7962374721767713,-0.0016420828379747566,0.027127930560429336
