date,code,weight
2021-01-01,000300.SH,0.1999999998
2021-01-01,000852.SH,0.1999999998
2021-01-01,CBA02701.CS,0.1999999998
2021-01-01,AU9999.SGE,0.1999999998
2021-01-01,NH0100.NHF,0.1999999998
2021-01-08,000300.SH,0.21052927006312375
2021-01-08,000852.SH,0.21303797106190153
2021-01-08,CBA02701.CS,0.18921178896872654
2021-01-08,AU9999.SGE,0.2222209690712482
2021-01-08,NH0100.NHF,0.164999999835
2021-01-15,000300.SH,0.17704598377949468
2021-01-15,000852.SH,0.1773741265828226
2021-01-15,CBA02701.CS,0.3144964359503652
2021-01-15,AU9999.SGE,0.1710834528473174
2021-01-15,NH0100.NHF,0.15999999983999996
2021-01-22,000300.SH,0.20326300491775984
2021-01-22,000852.SH,0.20893896054100727
2021-01-22,CBA02701.CS,0.1968966142812528
2021-01-22,AU9999.SGE,0.28999999970999996
2021-01-22,NH0100.NHF,0.10090141954998005
2021-01-29,000300.SH,0.16626998882214325
2021-01-29,000852.SH,0.16223239224833025
2021-01-29,CBA02701.CS,0.2727583982977063
2021-01-29,AU9999.SGE,0.24873921978182015
2021-01-29,NH0100.NHF,0.14999999984999995
2021-02-05,000300.SH,0.16060065071598587
2021-02-05,000852.SH,0.16560398261909787
2021-02-05,CBA02701.CS,0.22379536611491646
2021-02-05,AU9999.SGE,0.2999999996999999
2021-02-05,NH0100.NHF,0.14999999984999998
2021-02-12,000300.SH,0.22174668163347233
2021-02-12,000852.SH,0.21915414558214136
2021-02-12,CBA02701.CS,0.3712302346872693
2021-02-12,AU9999.SGE,0.09243333752806365
2021-02-12,NH0100.NHF,0.09543559956905336
2021-02-19,000300.SH,0.3122476137645621
2021-02-19,000852.SH,0.3122476137645621
2021-02-19,CBA02701.CS,0.11683380780548339
2021-02-19,AU9999.SGE,0.14045200582461692
2021-02-19,NH0100.NHF,0.11821895784077546
2021-02-26,000300.SH,0.12426524898871108
2021-02-26,000852.SH,0.1260732997035889
2021-02-26,CBA02701.CS,0.3802211656810656
2021-02-26,AU9999.SGE,0.21944028477663438
2021-02-26,NH0100.NHF,0.14999999984999998
2021-03-05,000300.SH,0.1869552185573017
2021-03-05,000852.SH,0.19032316254120135
2021-03-05,CBA02701.CS,0.2789482011039532
2021-03-05,AU9999.SGE,0.2014611518691759
2021-03-05,NH0100.NHF,0.14231226492836785
2021-03-12,000300.SH,0.1971333883280896
2021-03-12,000852.SH,0.19687669004112132
2021-03-12,CBA02701.CS,0.20488703422758664
2021-03-12,AU9999.SGE,0.2511028865532024
2021-03-12,NH0100.NHF,0.14999999984999998
2021-03-19,000300.SH,0.13914812253239062
2021-03-19,000852.SH,0.13835130802984744
2021-03-19,CBA02701.CS,0.4508706193631267
2021-03-19,AU9999.SGE,0.23001816815589962
2021-03-19,NH0100.NHF,0.04161178091873557
2021-03-26,000300.SH,0.1480081145059854
2021-03-26,000852.SH,0.1512530146305776
2021-03-26,CBA02701.CS,0.3128626345236581
2021-03-26,AU9999.SGE,0.23787623548977882
2021-03-26,NH0100.NHF,0.14999999984999998
2021-04-02,000300.SH,0.2022837953395817
2021-04-02,000852.SH,0.20382256750043196
2021-04-02,CBA02701.CS,0.268928389958808
2021-04-02,AU9999.SGE,0.21055042812081676
2021-04-02,NH0100.NHF,0.1144148180803615
2021-04-09,000300.SH,0.17332082248244693
2021-04-09,000852.SH,0.17794212696485173
2021-04-09,CBA02701.CS,0.278302205524256
2021-04-09,AU9999.SGE,0.22043484417844533
2021-04-09,NH0100.NHF,0.14999999984999998
2021-04-16,000300.SH,0.2239756615693674
2021-04-16,000852.SH,0.22376357420571105
2021-04-16,CBA02701.CS,0.21600249445048525
2021-04-16,AU9999.SGE,0.18625826892443628
2021-04-16,NH0100.NHF,0.14999999984999998
2021-04-23,000300.SH,0.17482776547112855
2021-04-23,000852.SH,0.17552228955374988
2021-04-23,CBA02701.CS,0.38272789382632605
2021-04-23,AU9999.SGE,0.1698235148993955
2021-04-23,NH0100.NHF,0.09709853524939999
2021-04-30,000300.SH,0.24581818348046242
2021-04-30,000852.SH,0.2508555913571144
2021-04-30,CBA02701.CS,0.16706784856740906
2021-04-30,AU9999.SGE,0.19784178289996288
2021-04-30,NH0100.NHF,0.1384165926950513
2021-05-07,000300.SH,0.48778601656198994
2021-05-07,000852.SH,0.44999999955
2021-05-07,CBA02701.CS,0.062213982888009944
2021-05-07,AU9999.SGE,0.0
2021-05-07,NH0100.NHF,0.0
2021-05-14,000300.SH,0.26890056470233137
2021-05-14,000852.SH,0.276577182854228
2021-05-14,CBA02701.CS,0.2030015077944798
2021-05-14,AU9999.SGE,0.1784276199118319
2021-05-14,NH0100.NHF,0.07309312373712877
2021-05-21,000300.SH,0.23413696091142586
2021-05-21,000852.SH,0.233495721658758
2021-05-21,CBA02701.CS,0.17367336420246463
2021-05-21,AU9999.SGE,0.20869395237735144
2021-05-21,NH0100.NHF,0.14999999984999998
2021-05-28,000300.SH,0.2063730121844825
2021-05-28,000852.SH,0.19502304098272943
2021-05-28,CBA02701.CS,0.2066039224680792
2021-05-28,AU9999.SGE,0.24750104160013126
2021-05-28,NH0100.NHF,0.14449898176457754
2021-06-04,000300.SH,0.1437984546369597
2021-06-04,000852.SH,0.14413196353342406
2021-06-04,CBA02701.CS,0.41158481909682554
2021-06-04,AU9999.SGE,0.15048476188279067
2021-06-04,NH0100.NHF,0.14999999984999998
2021-06-11,000300.SH,0.1929015359588716
2021-06-11,000852.SH,0.1944642373607117
2021-06-11,CBA02701.CS,0.311818127341894
2021-06-11,AU9999.SGE,0.15081609848852262
2021-06-11,NH0100.NHF,0.14999999984999998
2021-06-18,000300.SH,0.24909314033618843
2021-06-18,000852.SH,0.2524508526116534
2021-06-18,CBA02701.CS,0.3314408345602659
2021-06-18,AU9999.SGE,0.09717402394264378
2021-06-18,NH0100.NHF,0.06984114754924839
2021-06-25,000300.SH,0.1758855405090264
2021-06-25,000852.SH,0.1814499356993662
2021-06-25,CBA02701.CS,0.40100272883424004
2021-06-25,AU9999.SGE,0.15452349790629727
2021-06-25,NH0100.NHF,0.08713829605107003
2021-07-02,000300.SH,0.2552608290960431
2021-07-02,000852.SH,0.2686981307514058
2021-07-02,CBA02701.CS,0.21776134407093892
2021-07-02,AU9999.SGE,0.153565165453716
2021-07-02,NH0100.NHF,0.10471452962789606
2021-07-09,000300.SH,0.23386996868431636
2021-07-09,000852.SH,0.24975502506258393
2021-07-09,CBA02701.CS,0.2553501779933145
2021-07-09,AU9999.SGE,0.15643516505660587
2021-07-09,NH0100.NHF,0.10458966220317913
2021-07-16,000300.SH,0.21777062985070914
2021-07-16,000852.SH,0.21870325509019847
2021-07-16,CBA02701.CS,0.208964057446982
2021-07-16,AU9999.SGE,0.20456205676211042
2021-07-16,NH0100.NHF,0.14999999984999998
2021-07-23,000300.SH,0.2321321884313659
2021-07-23,000852.SH,0.23448975899958224
2021-07-23,CBA02701.CS,0.21843935089276037
2021-07-23,AU9999.SGE,0.16493870082629142
2021-07-23,NH0100.NHF,0.14999999984999998
2021-07-30,000300.SH,0.14455257981693828
2021-07-30,000852.SH,0.14500729064960244
2021-07-30,CBA02701.CS,0.34309014896845724
2021-07-30,AU9999.SGE,0.217349979715002
2021-07-30,NH0100.NHF,0.14999999984999998
2021-08-06,000300.SH,0.11727124623137228
2021-08-06,000852.SH,0.11895979447077665
2021-08-06,CBA02701.CS,0.4103778316813922
2021-08-06,AU9999.SGE,0.2138892214782058
2021-08-06,NH0100.NHF,0.13950190513825306
2021-08-13,000300.SH,0.28345800095891194
2021-08-13,000852.SH,0.2862369930378057
2021-08-13,CBA02701.CS,0.09901794879761923
2021-08-13,AU9999.SGE,0.18128705635566308
2021-08-13,NH0100.NHF,0.14999999984999998
2021-08-20,000300.SH,0.25211424484829925
2021-08-20,000852.SH,0.2570889227290657
2021-08-20,CBA02701.CS,0.16916427894513955
2021-08-20,AU9999.SGE,0.17163255262749547
2021-08-20,NH0100.NHF,0.14999999984999998
2021-08-27,000300.SH,0.20139999958966115
2021-08-27,000852.SH,0.19944895999788267
2021-08-27,CBA02701.CS,0.18753118571135122
2021-08-27,AU9999.SGE,0.2616198538511049
2021-08-27,NH0100.NHF,0.14999999984999998
2021-09-03,000300.SH,0.20509559805117186
2021-09-03,000852.SH,0.2025523548606052
2021-09-03,CBA02701.CS,0.17267931126488628
2021-09-03,AU9999.SGE,0.26967273497333666
2021-09-03,NH0100.NHF,0.14999999984999998
2021-09-10,000300.SH,0.25345262356740383
2021-09-10,000852.SH,0.24809751133316515
2021-09-10,CBA02701.CS,0.18903750619717127
2021-09-10,AU9999.SGE,0.15941235805225965
2021-09-10,NH0100.NHF,0.14999999984999998
2021-09-17,000300.SH,0.1191774957385574
2021-09-17,000852.SH,0.1094347950332655
2021-09-17,CBA02701.CS,0.3837304905738052
2021-09-17,AU9999.SGE,0.23765721780437196
2021-09-17,NH0100.NHF,0.14999999984999998
2021-09-24,000300.SH,0.2792494163720148
2021-09-24,000852.SH,0.19804581413220618
2021-09-24,CBA02701.CS,0.110110937292641
2021-09-24,AU9999.SGE,0.262593831353138
2021-09-24,NH0100.NHF,0.14999999984999998
2021-10-01,000300.SH,0.2324036365621412
2021-10-01,000852.SH,0.23245109011675244
2021-10-01,CBA02701.CS,0.1911211852227057
