date,code,weight
2015-01-02,000300.SH,0.1464428516352214
2015-01-02,000852.SH,0.24637226824371436
2015-01-02,CBA02701.CS,0.166951032919401
2015-01-02,AU9999.SGE,0.20650883111479382
2015-01-02,NH0100.NHF,0.23372501508686927
2015-01-09,000300.SH,0.1618485431125291
2015-01-09,000852.SH,0.21970248926981656
2015-01-09,CBA02701.CS,0.1884545130095916
2015-01-09,AU9999.SGE,0.20097487222679997
2015-01-09,NH0100.NHF,0.22901958138126272
2015-01-16,000300.SH,0.2510731132758913
2015-01-16,000852.SH,0.21677510949961273
2015-01-16,CBA02701.CS,0.1567296748566237
2015-01-16,AU9999.SGE,0.17281466644692517
2015-01-16,NH0100.NHF,0.20260743492094693
2015-01-23,000300.SH,0.13140852307114606
2015-01-23,000852.SH,0.14336801674806668
2015-01-23,CBA02701.CS,0.25708822645752677
2015-01-23,AU9999.SGE,0.1707327927963405
2015-01-23,NH0100.NHF,0.29740243992692
2015-01-30,000300.SH,0.18837754453541922
2015-01-30,000852.SH,0.29271534275962463
2015-01-30,CBA02701.CS,0.20522680843606356
2015-01-30,AU9999.SGE,0.16913755744802933
2015-01-30,NH0100.NHF,0.1445427458208633
2015-02-06,000300.SH,0.11568959495709377
2015-02-06,000852.SH,0.13297920674027805
2015-02-06,CBA02701.CS,0.25358194185753574
2015-02-06,AU9999.SGE,0.37918380129649604
2015-02-06,NH0100.NHF,0.1185654541485964
2015-02-13,000300.SH,0.1809855242379581
2015-02-13,000852.SH,0.1476856081497705
2015-02-13,CBA02701.CS,0.13468430016402339
2015-02-13,AU9999.SGE,0.24484820413696468
2015-02-13,NH0100.NHF,0.2917963623112832
2015-02-20,000300.SH,0.18196674134632104
2015-02-20,000852.SH,0.1694458432320934
2015-02-20,CBA02701.CS,0.3000421743314111
2015-02-20,AU9999.SGE,0.222854607794257
2015-02-20,NH0100.NHF,0.12569063229591726
2015-02-27,000300.SH,0.1504192172792942
2015-02-27,000852.SH,0.10846916068284129
2015-02-27,CBA02701.CS,0.13535288796778586
2015-02-27,AU9999.SGE,0.47270065728305855
2015-02-27,NH0100.NHF,0.1330580757870201
2015-03-06,000300.SH,0.11391931076774
2015-03-06,000852.SH,0.29585083847739574
2015-03-06,CBA02701.CS,0.18848221689572153
2015-03-06,AU9999.SGE,0.20970809759372566
2015-03-06,NH0100.NHF,0.19203953526541698
2015-03-13,000300.SH,0.17197371545286277
2015-03-13,000852.SH,0.20895629122205697
2015-03-13,CBA02701.CS,0.13225145683086734
2015-03-13,AU9999.SGE,0.2158053417669236
2015-03-13,NH0100.NHF,0.2710131937272893
2015-03-20,000300.SH,0.14643860929825353
2015-03-20,000852.SH,0.22555196043323303
2015-03-20,CBA02701.CS,0.14713505976847216
2015-03-20,AU9999.SGE,0.35663240247012157
2015-03-20,NH0100.NHF,0.12424196702991956
2015-03-27,000300.SH,0.17392639623677672
2015-03-27,000852.SH,0.19385292797984457
2015-03-27,CBA02701.CS,0.19105179582366374
2015-03-27,AU9999.SGE,0.23565694533971815
2015-03-27,NH0100.NHF,0.20551193361999673
2015-04-03,000300.SH,0.15420753875924942
2015-04-03,000852.SH,0.20102979743984187
2015-04-03,CBA02701.CS,0.168272162112927
2015-04-03,AU9999.SGE,0.2396955313537537
2015-04-03,NH0100.NHF,0.23679496933422803
2015-04-10,000300.SH,0.25925520072647884
2015-04-10,000852.SH,0.21262313424723966
2015-04-10,CBA02701.CS,0.16960975475420467
2015-04-10,AU9999.SGE,0.2501633757189272
2015-04-10,NH0100.NHF,0.10834853355314972
2015-04-17,000300.SH,0.20956979083731128
